term_str,n,tf,tfidf
sh,65,0.0012305478777781985,0.0010768047805925656
tls,18,0.0003407671046155011,0.00029819209308717205
voice,93,0.0017606300405134225,0.0002371543556181785
els,12,0.0002271780697436674,0.0002271780697436674
taupe,12,0.0002271780697436674,0.00019879472872478136
shawd,8,0.00015145204649577828,0.00017812142804977948
recognition,28,0.0005300821627352239,0.00015957063114973823
grigio,5,9.465752905986142e-05,0.00013982064809356539
vtec,7,0.00013252054068380598,0.00013252054068380598
navi,51,0.0009655067964105865,0.00013005238856480758
acuras,23,0.0004354246336753625,0.00011887147888126095
commands,22,0.00041649312786339027,0.00011370315371251047
beak,4,7.572602324788914e-05,0.00011185651847485233
link,17,0.0003218355988035288,0.0001065254008501044
shifters,22,0.00041649312786339027,0.00010273733167071574
tech,177,0.003350876528719094,0.0001004030619402417
bronze,10,0.00018931505811972283,9.898882005231487e-05
vsa,5,9.465752905986142e-05,9.465752905986142e-05
handsfree,12,0.0002271780697436674,9.040324304389177e-05
ent,10,0.00018931505811972283,9.032623806740798e-05
parchment,4,7.572602324788914e-05,8.906071402488974e-05
acuralink,3,5.679451743591685e-05,8.389238885613924e-05
tsxs,3,5.679451743591685e-05,8.389238885613924e-05
geek,6,0.0001135890348718337,7.93953281968898e-05
awd,135,0.0025557532846162585,7.657860656459113e-05
cl,7,0.00013252054068380598,7.607093396868789e-05
mdxs,4,7.572602324788914e-05,7.572602324788914e-05
usb,9,0.00017038355230775056,7.424098152385249e-05
paddle,22,0.00041649312786339027,7.334079927350323e-05
vtech,3,5.679451743591685e-05,6.679553551866729e-05
syst,3,5.679451743591685e-05,6.679553551866729e-05
zagat,3,5.679451743591685e-05,6.679553551866729e-05
brembo,5,9.465752905986142e-05,6.616277349740817e-05
activation,8,0.00015145204649577828,6.599198357675777e-05
ebony,6,0.0001135890348718337,6.520365768744676e-05
techy,4,7.572602324788914e-05,5.89262996769258e-05
surround,14,0.00026504108136761196,5.879903249837169e-05
turbo,101,0.0019120820870092007,5.729214268906447e-05
sled,3,5.679451743591685e-05,5.679451743591685e-05
moroccan,3,5.679451743591685e-05,5.679451743591685e-05
dashboards,3,5.679451743591685e-05,5.679451743591685e-05
spools,3,5.679451743591685e-05,5.679451743591685e-05
dolby,2,3.786301162394457e-05,5.5928259237426167e-05
hpt,2,3.786301162394457e-05,5.5928259237426167e-05
unconvertible,2,3.786301162394457e-05,5.5928259237426167e-05
tsk,2,3.786301162394457e-05,5.5928259237426167e-05
moot,2,3.786301162394457e-05,5.5928259237426167e-05
dampers,2,3.786301162394457e-05,5.5928259237426167e-05
footwells,2,3.786301162394457e-05,5.5928259237426167e-05
proportions,2,3.786301162394457e-05,5.5928259237426167e-05
robin,2,3.786301162394457e-05,5.5928259237426167e-05
compliance,2,3.786301162394457e-05,5.5928259237426167e-05
technological,6,0.0001135890348718337,5.419574284044479e-05
command,14,0.00026504108136761196,5.2575577462717594e-05
activated,14,0.00026504108136761196,5.2575577462717594e-05
cx,14,0.00026504108136761196,5.2575577462717594e-05
xm,43,0.0008140547499148082,5.059179868615938e-05
hondas,23,0.0004354246336753625,5.0245137066896364e-05
sportshift,3,5.679451743591685e-05,4.969868218119534e-05
gx,6,0.0001135890348718337,4.949398768256832e-05
thump,6,0.0001135890348718337,4.5201621521945885e-05
rsx,6,0.0001135890348718337,4.5201621521945885e-05
ml,12,0.0002271780697436674,4.506478068232937e-05
inclusive,2,3.786301162394457e-05,4.453035701244487e-05
swirls,2,3.786301162394457e-05,4.453035701244487e-05
nighthawk,2,3.786301162394457e-05,4.453035701244487e-05
basque,2,3.786301162394457e-05,4.453035701244487e-05
zing,2,3.786301162394457e-05,4.453035701244487e-05
svc,2,3.786301162394457e-05,4.453035701244487e-05
spy,2,3.786301162394457e-05,4.453035701244487e-05
strikingly,2,3.786301162394457e-05,4.453035701244487e-05
carte,2,3.786301162394457e-05,4.453035701244487e-05
exl,4,7.572602324788914e-05,4.346910512496451e-05
technologically,4,7.572602324788914e-05,4.346910512496451e-05
rx,36,0.0006815342092310022,4.235592448143576e-05
camera,48,0.0009087122789746696,4.1580393527553045e-05
legend,6,0.0001135890348718337,4.1253027421849865e-05
contemplating,5,9.465752905986142e-05,4.1244989735473604e-05
integration,7,0.00013252054068380598,3.989265778743456e-05
tom,3,5.679451743591685e-05,3.96976640984449e-05
optimal,4,7.572602324788914e-05,3.959552802092595e-05
pearl,18,0.0003407671046155011,3.9322281182788466e-05
zephyr,2,3.786301162394457e-05,3.786301162394457e-05
ulev,2,3.786301162394457e-05,3.786301162394457e-05
loosening,2,3.786301162394457e-05,3.786301162394457e-05
verbal,2,3.786301162394457e-05,3.786301162394457e-05
swiftly,2,3.786301162394457e-05,3.786301162394457e-05
presets,5,9.465752905986142e-05,3.7668017934954905e-05
molding,8,0.00015145204649577828,3.735902969844209e-05
glare,8,0.00015145204649577828,3.735902969844209e-05
nav,134,0.002536821778804286,3.735027855769669e-05
mls,3,5.679451743591685e-05,3.589545348749038e-05
gadgetry,3,5.679451743591685e-05,3.589545348749038e-05
intimidating,3,5.679451743591685e-05,3.589545348749038e-05
undoubtedly,3,5.679451743591685e-05,3.589545348749038e-05
cockpit,14,0.00026504108136761196,3.570065568445698e-05
ex,14,0.00026504108136761196,3.570065568445698e-05
grill,14,0.00026504108136761196,3.570065568445698e-05
es,12,0.0002271780697436674,3.5190328269071946e-05
sound,126,0.0023853697323085077,3.512041118111778e-05
