term_str,n,tf,tfidf
mmi,66,0.0023835319609967496,0.0028032511050081243
quattro,86,0.0031058143734200073,0.0013532920542536516
dsg,26,0.0009389671361502347,0.0007306584510644541
avant,18,0.0006500541711809318,0.000454368366848983
olufsen,8,0.000288912964969303,0.00042675948132023467
meteor,4,0.0001444564824846515,0.00021337974066011734
fsi,5,0.00018057060310581438,0.00021236750795516096
prestige,18,0.0006500541711809318,0.00019568580433194878
adaptive,11,0.00039725532683279163,0.00018953895998253113
tronic,6,0.00021668472372697725,0.00016861348870718173
silva,3,0.00010834236186348862,0.000160034805495088
herb,3,0.00010834236186348862,0.000160034805495088
playlist,3,0.00010834236186348862,0.000160034805495088
quartz,4,0.0001444564824846515,0.0001444564824846515
q,7,0.0002527988443481401,0.00013218314254107488
integration,11,0.00039725532683279163,0.0001195857693139687
audis,14,0.0005055976886962802,0.00011216621504618958
disclosed,3,0.00010834236186348862,0.00010834236186348862
berber,2,7.222824124232574e-05,0.00010668987033005867
aruba,2,7.222824124232574e-05,0.00010668987033005867
infineon,2,7.222824124232574e-05,0.00010668987033005867
drc,2,7.222824124232574e-05,0.00010668987033005867
informational,2,7.222824124232574e-05,0.00010668987033005867
reatta,2,7.222824124232574e-05,0.00010668987033005867
glk,2,7.222824124232574e-05,0.00010668987033005867
frou,2,7.222824124232574e-05,0.00010668987033005867
amaretto,2,7.222824124232574e-05,0.00010668987033005867
tiptronic,6,0.00021668472372697725,0.0001033848872631988
bose,16,0.000577825929938606,0.00010175009551790898
cvt,15,0.0005417118093174431,9.539071454803967e-05
vigor,2,7.222824124232574e-05,8.494700318206438e-05
asr,2,7.222824124232574e-05,8.494700318206438e-05
pckg,2,7.222824124232574e-05,8.494700318206438e-05
dfi,2,7.222824124232574e-05,8.494700318206438e-05
quattros,2,7.222824124232574e-05,8.494700318206438e-05
dilemma,2,7.222824124232574e-05,8.494700318206438e-05
navigator,8,0.000288912964969303,7.887360695232579e-05
cachet,3,0.00010834236186348862,7.572806114149717e-05
breathtaking,4,0.0001444564824846515,7.553322430918564e-05
walter,2,7.222824124232574e-05,7.222824124232574e-05
undue,2,7.222824124232574e-05,7.222824124232574e-05
alcantara,2,7.222824124232574e-05,7.222824124232574e-05
blasts,2,7.222824124232574e-05,7.222824124232574e-05
sti,5,0.00018057060310581438,7.185626736584284e-05
impeccable,6,0.00021668472372697725,7.172117422349392e-05
led,20,0.0007222824124232575,6.999639798342826e-05
turbo,64,0.002311303719754424,6.925410964811719e-05
retire,3,0.00010834236186348862,6.847488783373841e-05
cabriolet,3,0.00010834236186348862,6.847488783373841e-05
absent,3,0.00010834236186348862,6.847488783373841e-05
amaze,3,0.00010834236186348862,6.847488783373841e-05
roadster,8,0.000288912964969303,6.409498002639405e-05
interface,8,0.000288912964969303,6.409498002639405e-05
delightfully,2,7.222824124232574e-05,6.320413603407006e-05
latitude,2,7.222824124232574e-05,6.320413603407006e-05
clatter,2,7.222824124232574e-05,6.320413603407006e-05
competence,2,7.222824124232574e-05,6.320413603407006e-05
sumptuous,2,7.222824124232574e-05,6.320413603407006e-05
loop,2,7.222824124232574e-05,6.320413603407006e-05
predict,2,7.222824124232574e-05,6.320413603407006e-05
designated,2,7.222824124232574e-05,6.320413603407006e-05
implemented,2,7.222824124232574e-05,6.320413603407006e-05
quart,4,0.0001444564824846515,6.294381647691403e-05
pirelli,4,0.0001444564824846515,6.294381647691403e-05
shifters,7,0.0002527988443481401,6.23584808013622e-05
spilled,3,0.00010834236186348862,6.219190332911363e-05
attribute,3,0.00010834236186348862,6.219190332911363e-05
shorted,3,0.00010834236186348862,6.219190332911363e-05
daytime,6,0.00021668472372697725,5.9155205214244346e-05
allroad,4,0.0001444564824846515,5.748501389267426e-05
notices,3,0.00010834236186348862,5.664991823188923e-05
funeral,2,7.222824124232574e-05,5.620449623572724e-05
agonized,2,7.222824124232574e-05,5.620449623572724e-05
tightens,2,7.222824124232574e-05,5.620449623572724e-05
voice,11,0.00039725532683279163,5.350972599754489e-05
quarterly,1,3.611412062116287e-05,5.3344935165029334e-05
centric,1,3.611412062116287e-05,5.3344935165029334e-05
carmel,1,3.611412062116287e-05,5.3344935165029334e-05
committments,1,3.611412062116287e-05,5.3344935165029334e-05
resurgence,1,3.611412062116287e-05,5.3344935165029334e-05
rushes,1,3.611412062116287e-05,5.3344935165029334e-05
recedes,1,3.611412062116287e-05,5.3344935165029334e-05
pule,1,3.611412062116287e-05,5.3344935165029334e-05
rebooting,1,3.611412062116287e-05,5.3344935165029334e-05
savor,1,3.611412062116287e-05,5.3344935165029334e-05
climp,1,3.611412062116287e-05,5.3344935165029334e-05
purfect,1,3.611412062116287e-05,5.3344935165029334e-05
cocky,1,3.611412062116287e-05,5.3344935165029334e-05
queues,1,3.611412062116287e-05,5.3344935165029334e-05
ron,1,3.611412062116287e-05,5.3344935165029334e-05
charms,1,3.611412062116287e-05,5.3344935165029334e-05
certainty,1,3.611412062116287e-05,5.3344935165029334e-05
restrants,1,3.611412062116287e-05,5.3344935165029334e-05
compenents,1,3.611412062116287e-05,5.3344935165029334e-05
scalpel,1,3.611412062116287e-05,5.3344935165029334e-05
surgeons,1,3.611412062116287e-05,5.3344935165029334e-05
bicolor,1,3.611412062116287e-05,5.3344935165029334e-05
stimulating,1,3.611412062116287e-05,5.3344935165029334e-05
stronic,1,3.611412062116287e-05,5.3344935165029334e-05
subtlety,1,3.611412062116287e-05,5.3344935165029334e-05
