term_str,n,tf,tfidf
idrive,193,0.004172251286263998,0.002181581517555994
rfts,17,0.0003675039993082278,0.0005428479685726633
sav,13,0.000281032470059233,0.0003305198315474914
xdrive,13,0.000281032470059233,0.0003305198315474914
flats,41,0.0008863331748021964,0.00032189662326356197
xi,16,0.0003458861169959791,0.0002691517144307644
rft,8,0.00017294305849798955,0.0002554578675636063
runflat,8,0.00017294305849798955,0.0002554578675636063
dinan,8,0.00017294305849798955,0.00020339681941384087
twin,42,0.0009079510571144451,0.00020142780673368862
monaco,7,0.00015132517618574083,0.00017797221698711074
turbos,15,0.00032426823468373035,0.000169552967685699
steptronic,10,0.00021617882312248692,0.00016821982151922772
alpine,13,0.000281032470059233,0.0001613214250607537
autobahn,20,0.00043235764624497384,0.0001570227430553961
munich,6,0.00012970729387349215,0.00015254761456038064
runflats,9,0.00019456094081023823,0.00015139783936730496
coral,4,8.647152924899477e-05,0.00012772893378180315
polarized,6,0.00012970729387349215,0.00011350182844805656
logic,11,0.0002377967054347356,0.00010361481830549982
hardtop,12,0.0002594145877469843,0.00010323144329768799
zf,4,8.647152924899477e-05,0.00010169840970692044
bangle,4,8.647152924899477e-05,0.00010169840970692044
xenons,8,0.00017294305849798955,9.927472311430998e-05
bimmer,18,0.00038912188162047647,9.598560249351448e-05
xenon,18,0.00038912188162047647,9.598560249351448e-05
servotronic,3,6.485364693674607e-05,9.579670033635235e-05
navtec,3,6.485364693674607e-05,9.579670033635235e-05
sos,3,6.485364693674607e-05,9.579670033635235e-05
shifters,17,0.0003675039993082278,9.065306902165257e-05
series,134,0.002896796229841325,8.679735251367091e-05
quattro,9,0.00019456094081023823,8.477576043177259e-05
cayman,5,0.00010808941156124346,8.410991075961386e-05
prem,10,0.00021617882312248692,7.851137152769805e-05
ultimate,45,0.0009728047040511911,7.702788862776421e-05
dsc,4,8.647152924899477e-05,7.566788563203771e-05
involving,4,8.647152924899477e-05,7.566788563203771e-05
stalling,8,0.00017294305849798955,7.535623149490896e-05
coupe,114,0.0024644385835963507,7.384252378028718e-05
bmws,42,0.0009079510571144451,7.189269605257992e-05
hd,11,0.0002377967054347356,7.158394120592747e-05
communication,5,0.00010808941156124346,6.831501737055272e-05
cpo,6,0.00012970729387349215,6.78211870742796e-05
hud,4,8.647152924899477e-05,6.72879286076911e-05
integration,10,0.00021617882312248692,6.50763101872068e-05
dtc,2,4.323576462449739e-05,6.386446689090157e-05
tennis,2,4.323576462449739e-05,6.386446689090157e-05
imola,2,4.323576462449739e-05,6.386446689090157e-05
literate,2,4.323576462449739e-05,6.386446689090157e-05
seimens,2,4.323576462449739e-05,6.386446689090157e-05
cdv,2,4.323576462449739e-05,6.386446689090157e-05
addtional,2,4.323576462449739e-05,6.386446689090157e-05
zsp,2,4.323576462449739e-05,6.386446689090157e-05
montego,2,4.323576462449739e-05,6.386446689090157e-05
curiously,2,4.323576462449739e-05,6.386446689090157e-05
sapphire,5,0.00010808941156124346,6.204670194644373e-05
paddle,16,0.0003458861169959791,6.090752183170262e-05
recurring,4,8.647152924899477e-05,6.044100517411206e-05
leatherette,7,0.00015132517618574083,6.0218341923651324e-05
slogan,3,6.485364693674607e-05,5.675091422402828e-05
odds,3,6.485364693674607e-05,5.675091422402828e-05
symptoms,3,6.485364693674607e-05,5.675091422402828e-05
contour,5,0.00010808941156124346,5.6517655895233e-05
ventilated,5,0.00010808941156124346,5.6517655895233e-05
glue,7,0.00015132517618574083,5.495796006938862e-05
matic,4,8.647152924899477e-05,5.465201389644218e-05
diesel,31,0.0006701543516797095,5.306365661023757e-05
malfunction,11,0.0002377967054347356,5.275490176358511e-05
germany,21,0.00045397552855722253,5.2385788247296917e-05
charged,8,0.00017294305849798955,5.206104814976544e-05
blk,6,0.00012970729387349215,5.1615721648843994e-05
modes,6,0.00012970729387349215,5.1615721648843994e-05
understatement,5,0.00010808941156124346,5.157175566601047e-05
iphone,5,0.00010808941156124346,5.157175566601047e-05
adaptive,5,0.00010808941156124346,5.157175566601047e-05
sd,5,0.00010808941156124346,5.157175566601047e-05
vishnu,2,4.323576462449739e-05,5.084920485346022e-05
ninety,2,4.323576462449739e-05,5.084920485346022e-05
revolves,2,4.323576462449739e-05,5.084920485346022e-05
caveats,2,4.323576462449739e-05,5.084920485346022e-05
inventing,2,4.323576462449739e-05,5.084920485346022e-05
microsoft,2,4.323576462449739e-05,5.084920485346022e-05
wx,2,4.323576462449739e-05,5.084920485346022e-05
divine,2,4.323576462449739e-05,5.084920485346022e-05
biodiesel,2,4.323576462449739e-05,5.084920485346022e-05
thx,2,4.323576462449739e-05,5.084920485346022e-05
relentless,2,4.323576462449739e-05,5.084920485346022e-05
makeup,2,4.323576462449739e-05,5.084920485346022e-05
stupidly,2,4.323576462449739e-05,5.084920485346022e-05
xis,2,4.323576462449739e-05,5.084920485346022e-05
pp,2,4.323576462449739e-05,5.084920485346022e-05
maligned,2,4.323576462449739e-05,5.084920485346022e-05
autobahns,2,4.323576462449739e-05,5.084920485346022e-05
loner,2,4.323576462449739e-05,5.084920485346022e-05
tpm,3,6.485364693674607e-05,5.046594645576832e-05
perf,3,6.485364693674607e-05,5.046594645576832e-05
ds,3,6.485364693674607e-05,5.046594645576832e-05
software,15,0.00032426823468373035,5.0229785113626783e-05
inline,7,0.00015132517618574083,5.008760718772906e-05
turbo,77,0.0016645769380431493,4.987609062352731e-05
