term_str,n,tf,tfidf
cxl,54,0.002672473522716025,0.0031430727501240616
cxs,16,0.0007918440067306741,0.0006929120169388895
onstar,27,0.0013362367613580124,0.0005822365326219345
buicks,17,0.0008413342571513411,0.00048295217021534294
northstar,13,0.0006433732554686726,0.00044969860716461666
avenue,12,0.0005938830050480055,0.0004151064066134923
lesabre,12,0.0005938830050480055,0.00037534784600934705
gm,120,0.005938830050480055,0.00036908585617446955
enclaves,4,0.00019796100168266851,0.0002924124031910645
cocoa,6,0.00029694150252400277,0.00025984200635208356
cx,26,0.0012867465109373452,0.0002552488863673003
roadmaster,4,0.00019796100168266851,0.00023282020371289346
lasabre,4,0.00019796100168266851,0.00019796100168266851
bravada,4,0.00019796100168266851,0.00017322800423472237
magnetic,5,0.00024745125210333564,0.00015639493583722794
cashmere,5,0.00024745125210333564,0.00015639493583722794
csx,2,9.898050084133426e-05,0.00014620620159553225
vvery,2,9.898050084133426e-05,0.00014620620159553225
possesion,2,9.898050084133426e-05,0.00014620620159553225
moca,2,9.898050084133426e-05,0.00014620620159553225
smokers,2,9.898050084133426e-05,0.00014620620159553225
lesabres,2,9.898050084133426e-05,0.00014620620159553225
articulating,2,9.898050084133426e-05,0.00014620620159553225
rested,2,9.898050084133426e-05,0.00014620620159553225
milelege,2,9.898050084133426e-05,0.00014620620159553225
wildcat,2,9.898050084133426e-05,0.00014620620159553225
ming,2,9.898050084133426e-05,0.00014620620159553225
deville,5,0.00024745125210333564,0.0001420447559456891
grandfather,3,0.00014847075126200139,0.00012992100317604178
vanden,2,9.898050084133426e-05,0.00011641010185644673
plas,2,9.898050084133426e-05,0.00011641010185644673
lacross,2,9.898050084133426e-05,0.00011641010185644673
vechiles,2,9.898050084133426e-05,0.00011641010185644673
avenues,2,9.898050084133426e-05,0.00011641010185644673
retrievers,2,9.898050084133426e-05,0.00011641010185644673
dhs,2,9.898050084133426e-05,0.00011641010185644673
regal,5,0.00024745125210333564,0.00010782158011517306
quiteness,2,9.898050084133426e-05,9.898050084133426e-05
tintcoat,2,9.898050084133426e-05,9.898050084133426e-05
cast,2,9.898050084133426e-05,9.898050084133426e-05
dissappointment,2,9.898050084133426e-05,9.898050084133426e-05
jewel,6,0.00029694150252400277,8.938829921725662e-05
olds,6,0.00029694150252400277,8.938829921725662e-05
century,9,0.00044541225378600416,8.835538374252704e-05
lambda,2,9.898050084133426e-05,8.661400211736119e-05
zenon,2,9.898050084133426e-05,8.661400211736119e-05
apperance,2,9.898050084133426e-05,8.661400211736119e-05
jumbo,2,9.898050084133426e-05,8.661400211736119e-05
intown,2,9.898050084133426e-05,8.661400211736119e-05
division,3,0.00014847075126200139,8.522685356741347e-05
switchgear,2,9.898050084133426e-05,7.702180049328354e-05
quailty,2,9.898050084133426e-05,7.702180049328354e-05
keyhole,2,9.898050084133426e-05,7.702180049328354e-05
keyfob,2,9.898050084133426e-05,7.702180049328354e-05
successor,2,9.898050084133426e-05,7.702180049328354e-05
navagation,2,9.898050084133426e-05,7.702180049328354e-05
bench,7,0.0003464317529446699,7.685545121817751e-05
quietness,10,0.0004949025042066713,7.66613679034659e-05
diamond,5,0.00024745125210333564,7.449024934771385e-05
captain,5,0.00024745125210333564,7.449024934771385e-05
expreesway,1,4.949025042066713e-05,7.310310079776612e-05
beaautiful,1,4.949025042066713e-05,7.310310079776612e-05
beaumont,1,4.949025042066713e-05,7.310310079776612e-05
querie,1,4.949025042066713e-05,7.310310079776612e-05
favours,1,4.949025042066713e-05,7.310310079776612e-05
realined,1,4.949025042066713e-05,7.310310079776612e-05
unavailabe,1,4.949025042066713e-05,7.310310079776612e-05
tricoatfinish,1,4.949025042066713e-05,7.310310079776612e-05
bargan,1,4.949025042066713e-05,7.310310079776612e-05
bbrake,1,4.949025042066713e-05,7.310310079776612e-05
tucker,1,4.949025042066713e-05,7.310310079776612e-05
cheesey,1,4.949025042066713e-05,7.310310079776612e-05
raniers,1,4.949025042066713e-05,7.310310079776612e-05
beed,1,4.949025042066713e-05,7.310310079776612e-05
rang,1,4.949025042066713e-05,7.310310079776612e-05
ttger,1,4.949025042066713e-05,7.310310079776612e-05
unburned,1,4.949025042066713e-05,7.310310079776612e-05
colector,1,4.949025042066713e-05,7.310310079776612e-05
putrid,1,4.949025042066713e-05,7.310310079776612e-05
fessed,1,4.949025042066713e-05,7.310310079776612e-05
urning,1,4.949025042066713e-05,7.310310079776612e-05
upstood,1,4.949025042066713e-05,7.310310079776612e-05
persuit,1,4.949025042066713e-05,7.310310079776612e-05
aswome,1,4.949025042066713e-05,7.310310079776612e-05
pga,1,4.949025042066713e-05,7.310310079776612e-05
galvanized,1,4.949025042066713e-05,7.310310079776612e-05
gallop,1,4.949025042066713e-05,7.310310079776612e-05
pillows,1,4.949025042066713e-05,7.310310079776612e-05
fumbles,1,4.949025042066713e-05,7.310310079776612e-05
auomatically,1,4.949025042066713e-05,7.310310079776612e-05
friendswood,1,4.949025042066713e-05,7.310310079776612e-05
upholsterer,1,4.949025042066713e-05,7.310310079776612e-05
pleasingly,1,4.949025042066713e-05,7.310310079776612e-05
forgive,1,4.949025042066713e-05,7.310310079776612e-05
averave,1,4.949025042066713e-05,7.310310079776612e-05
unsuportive,1,4.949025042066713e-05,7.310310079776612e-05
unquenchable,1,4.949025042066713e-05,7.310310079776612e-05
coloring,1,4.949025042066713e-05,7.310310079776612e-05
prouder,1,4.949025042066713e-05,7.310310079776612e-05
firming,1,4.949025042066713e-05,7.310310079776612e-05
