term_str,n,tf,tfidf
di,25,0.0012220158373252518,0.0009509131518032599
esv,17,0.0008309707693811712,0.0005808236422774622
onstar,22,0.0010753739368462216,0.0004685711472456556
gm,105,0.0051324665167660575,0.00031897205047554334
caddy,52,0.0025417929416365237,0.00029330617716822845
cooled,16,0.0007820901358881611,0.0002354325902152556
injection,10,0.0004888063349301007,0.00023321989183676923
zr,3,0.00014664190047903022,0.00021660786803006098
xlr,3,0.00014664190047903022,0.00021660786803006098
deville,7,0.0003421644344510705,0.00019641308407928595
inject,3,0.00014664190047903022,0.00017246425736470056
ext,20,0.0009776126698602015,0.00017214904590446891
northstar,5,0.00024440316746505037,0.000170830483022783
seville,3,0.00014664190047903022,0.00014664190047903022
transfered,2,9.776126698602014e-05,0.00014440524535337397
deffective,2,9.776126698602014e-05,0.00014440524535337397
cadillacs,10,0.0004888063349301007,0.0001334447512287309
diamond,9,0.0004399257014370906,0.00013243083199608127
bose,15,0.000733209502395151,0.00012911178442835168
escalades,3,0.00014664190047903022,0.00012832064669934012
eldorado,3,0.00014664190047903022,0.00012832064669934012
caddies,3,0.00014664190047903022,0.00012832064669934012
navigator,9,0.0004399257014370906,0.0001201002761058578
slade,2,9.776126698602014e-05,0.00011497617157646704
distinctively,2,9.776126698602014e-05,0.00011497617157646704
dhs,2,9.776126698602014e-05,0.00011497617157646704
thunder,3,0.00014664190047903022,0.00011410957821639119
gb,3,0.00014664190047903022,0.00011410957821639119
ventilated,4,0.00019552253397204028,0.00010223457723733261
graceful,2,9.776126698602014e-05,9.776126698602014e-05
thrid,2,9.776126698602014e-05,9.776126698602014e-05
ville,2,9.776126698602014e-05,9.776126698602014e-05
injected,2,9.776126698602014e-05,9.776126698602014e-05
platinum,5,0.00024440316746505037,9.72577985805156e-05
conditioned,4,0.00019552253397204028,9.328795673470768e-05
direct,16,0.0007820901358881611,9.024805451330107e-05
harmonic,2,9.776126698602014e-05,8.554709779956009e-05
reward,2,9.776126698602014e-05,8.554709779956009e-05
mks,2,9.776126698602014e-05,8.554709779956009e-05
labeled,2,9.776126698602014e-05,8.554709779956009e-05
infotainment,2,9.776126698602014e-05,8.554709779956009e-05
vail,2,9.776126698602014e-05,8.554709779956009e-05
cherry,4,0.00019552253397204028,8.519475404466465e-05
stitched,3,0.00014664190047903022,8.417703603397969e-05
spends,3,0.00014664190047903022,8.417703603397969e-05
hottest,3,0.00014664190047903022,8.417703603397969e-05
cadi,3,0.00014664190047903022,8.417703603397969e-05
awd,52,0.0025417929416365237,7.616030968946361e-05
indianapolis,2,9.776126698602014e-05,7.60730521442608e-05
limousine,2,9.776126698602014e-05,7.60730521442608e-05
hdd,2,9.776126698602014e-05,7.60730521442608e-05
demographic,2,9.776126698602014e-05,7.60730521442608e-05
augustine,1,4.888063349301007e-05,7.220262267668698e-05
peter,1,4.888063349301007e-05,7.220262267668698e-05
phallic,1,4.888063349301007e-05,7.220262267668698e-05
pharm,1,4.888063349301007e-05,7.220262267668698e-05
furius,1,4.888063349301007e-05,7.220262267668698e-05
perfomrance,1,4.888063349301007e-05,7.220262267668698e-05
furnished,1,4.888063349301007e-05,7.220262267668698e-05
kiddie,1,4.888063349301007e-05,7.220262267668698e-05
architectural,1,4.888063349301007e-05,7.220262267668698e-05
phillies,1,4.888063349301007e-05,7.220262267668698e-05
perfectionists,1,4.888063349301007e-05,7.220262267668698e-05
pdq,1,4.888063349301007e-05,7.220262267668698e-05
passersby,1,4.888063349301007e-05,7.220262267668698e-05
infrared,1,4.888063349301007e-05,7.220262267668698e-05
phattest,1,4.888063349301007e-05,7.220262267668698e-05
leaseback,1,4.888063349301007e-05,7.220262267668698e-05
fuddy,1,4.888063349301007e-05,7.220262267668698e-05
panegyrical,1,4.888063349301007e-05,7.220262267668698e-05
exacly,1,4.888063349301007e-05,7.220262267668698e-05
pup,1,4.888063349301007e-05,7.220262267668698e-05
exclellent,1,4.888063349301007e-05,7.220262267668698e-05
exhibition,1,4.888063349301007e-05,7.220262267668698e-05
exillerating,1,4.888063349301007e-05,7.220262267668698e-05
probaqbly,1,4.888063349301007e-05,7.220262267668698e-05
explanations,1,4.888063349301007e-05,7.220262267668698e-05
priviledged,1,4.888063349301007e-05,7.220262267668698e-05
prevail,1,4.888063349301007e-05,7.220262267668698e-05
jockey,1,4.888063349301007e-05,7.220262267668698e-05
extractors,1,4.888063349301007e-05,7.220262267668698e-05
fand,1,4.888063349301007e-05,7.220262267668698e-05
fantasticly,1,4.888063349301007e-05,7.220262267668698e-05
pleases,1,4.888063349301007e-05,7.220262267668698e-05
plaudits,1,4.888063349301007e-05,7.220262267668698e-05
awaken,1,4.888063349301007e-05,7.220262267668698e-05
fantstically,1,4.888063349301007e-05,7.220262267668698e-05
forwad,1,4.888063349301007e-05,7.220262267668698e-05
appparent,1,4.888063349301007e-05,7.220262267668698e-05
bezel,1,4.888063349301007e-05,7.220262267668698e-05
intellibeam,1,4.888063349301007e-05,7.220262267668698e-05
galley,1,4.888063349301007e-05,7.220262267668698e-05
orchard,1,4.888063349301007e-05,7.220262267668698e-05
overdive,1,4.888063349301007e-05,7.220262267668698e-05
havng,1,4.888063349301007e-05,7.220262267668698e-05
imperturbable,1,4.888063349301007e-05,7.220262267668698e-05
necessate,1,4.888063349301007e-05,7.220262267668698e-05
bavaria,1,4.888063349301007e-05,7.220262267668698e-05
naviagator,1,4.888063349301007e-05,7.220262267668698e-05
heaped,1,4.888063349301007e-05,7.220262267668698e-05
