term_str,n,tf,tfidf
ltz,226,0.0019025330628256825,0.0006909579670280799
onstar,142,0.0011953968801825085,0.0005208685726601293
lt,123,0.0010354494102989334,0.0004940349218405616
silverado,140,0.00117856030440529,0.00029071822027119
ss,215,0.0018099318960509811,0.0002803619981390094
gm,494,0.004158634216972952,0.0002584504115189887
xfe,17,0.00014311089410635664,0.00016831147163412927
bed,60,0.0005050972733165529,0.00016718377242409203
monte,34,0.0002862217882127133,0.00016430025593903845
management,47,0.00039565953076463306,0.00014369479845274227
chevy,550,0.004630058338735068,0.00013873147225411243
npp,10,8.418287888609215e-05,0.00012434831968613781
victory,12,0.00010101945466331057,0.00011880809762409124
burb,16,0.00013469260621774745,0.00011786428216642284
crew,42,0.000353568091321587,0.00011702864069686441
duramax,22,0.00018520233354940273,0.00010631193031349549
carlo,22,0.00018520233354940273,0.00010631193031349549
ls,100,0.0008418287888609214,9.714150190848443e-05
vette,68,0.0005724435764254265,8.867263196954715e-05
cab,103,0.0008670836525267492,8.402908804544033e-05
bose,54,0.0004545875459848976,8.004889332351301e-05
tb,8,6.734630310887372e-05,7.920539841606084e-05
cyber,6,5.0509727331655285e-05,7.460899181168268e-05
bowtie,6,5.0509727331655285e-05,7.460899181168268e-05
dic,12,0.00010101945466331057,7.060956866403645e-05
afm,8,6.734630310887372e-05,6.734630310887372e-05
cavalier,20,0.0001683657577721843,6.699947110793721e-05
cashmere,12,0.00010101945466331057,6.384664048409252e-05
pioneer,14,0.00011785603044052901,6.162441332046508e-05
maxx,8,6.734630310887372e-05,5.893214108321142e-05
impalas,7,5.8928015220264504e-05,5.8928015220264504e-05
vortec,7,5.8928015220264504e-05,5.8928015220264504e-05
granite,11,9.260116677470137e-05,5.3155965156747745e-05
allison,8,6.734630310887372e-05,5.240560997288595e-05
hud,8,6.734630310887372e-05,5.240560997288595e-05
xm,99,0.0008334105009723123,5.179471809793499e-05
ecotec,6,5.0509727331655285e-05,5.0509727331655285e-05
rental,34,0.0002862217882127133,5.040115505554522e-05
chevys,15,0.00012627431832913823,5.0249603330952905e-05
midgate,4,3.367315155443686e-05,4.9739327874455124e-05
tbss,4,3.367315155443686e-05,4.9739327874455124e-05
tows,23,0.00019362062143801195,4.776085047312408e-05
fleet,13,0.00010943774255191979,4.768515101818085e-05
vettes,14,0.00011785603044052901,4.689962977555604e-05
trailblazers,6,5.0509727331655285e-05,4.419910581240856e-05
stabilitrak,6,5.0509727331655285e-05,4.419910581240856e-05
suburbans,11,9.260116677470137e-05,4.418198488005023e-05
tahoes,10,8.418287888609215e-05,4.4017438086046486e-05
ebony,9,7.576459099748293e-05,4.349124421915724e-05
trailering,7,5.8928015220264504e-05,4.118891505402126e-05
bench,22,0.00018520233354940273,4.1086906123966366e-05
suede,10,8.418287888609215e-05,4.016544080004566e-05
retro,13,0.00010943774255191979,3.974536978480106e-05
mgmt,4,3.367315155443686e-05,3.960269920803042e-05
braun,4,3.367315155443686e-05,3.960269920803042e-05
lint,8,6.734630310887372e-05,3.8658883750361995e-05
pinion,8,6.734630310887372e-05,3.8658883750361995e-05
aries,3,2.5254863665827643e-05,3.730449590584134e-05
gmac,3,2.5254863665827643e-05,3.730449590584134e-05
avi,3,2.5254863665827643e-05,3.730449590584134e-05
scotch,3,2.5254863665827643e-05,3.730449590584134e-05
alison,3,2.5254863665827643e-05,3.730449590584134e-05
reciever,3,2.5254863665827643e-05,3.730449590584134e-05
dod,3,2.5254863665827643e-05,3.730449590584134e-05
ncm,3,2.5254863665827643e-05,3.730449590584134e-05
aveos,3,2.5254863665827643e-05,3.730449590584134e-05
actuate,3,2.5254863665827643e-05,3.730449590584134e-05
z,25,0.00021045719721523036,3.705967283495972e-05
foreign,37,0.00031147665187854093,3.5942355706139235e-05
ext,24,0.00020203890932662114,3.557728592156134e-05
el,8,6.734630310887372e-05,3.521395046883719e-05
chairs,15,0.00012627431832913823,3.447304953283608e-05
procedure,4,3.367315155443686e-05,3.367315155443686e-05
tintcoat,4,3.367315155443686e-05,3.367315155443686e-05
capt,4,3.367315155443686e-05,3.367315155443686e-05
museum,4,3.367315155443686e-05,3.367315155443686e-05
malibus,4,3.367315155443686e-05,3.367315155443686e-05
venture,12,0.00010101945466331057,3.34367544848184e-05
silverados,5,4.2091439443046073e-05,3.2753506233053716e-05
trailer,62,0.0005219338490937713,3.2437096182545145e-05
camaro,14,0.00011785603044052901,3.2174846230647005e-05
active,33,0.0002778035003241041,3.205669562979986e-05
lumina,6,5.0509727331655285e-05,3.192332024204626e-05
woodgrain,6,5.0509727331655285e-05,3.192332024204626e-05
magnetic,6,5.0509727331655285e-05,3.192332024204626e-05
tailpipe,6,5.0509727331655285e-05,3.192332024204626e-05
boards,19,0.00015994746988357507,3.1728404326746046e-05
gravel,11,9.260116677470137e-05,3.06503582777502e-05
ga,10,8.418287888609215e-05,3.057336137292389e-05
chrome,78,0.0006566264553115187,3.0045578830806397e-05
fords,16,0.00013469260621774745,2.988138627197554e-05
nox,3,2.5254863665827643e-05,2.970202440602281e-05
flexfuel,3,2.5254863665827643e-05,2.970202440602281e-05
mismatch,3,2.5254863665827643e-05,2.970202440602281e-05
burble,3,2.5254863665827643e-05,2.970202440602281e-05
drywall,3,2.5254863665827643e-05,2.970202440602281e-05
mailbu,3,2.5254863665827643e-05,2.970202440602281e-05
mislead,3,2.5254863665827643e-05,2.970202440602281e-05
execpt,3,2.5254863665827643e-05,2.970202440602281e-05
surprized,3,2.5254863665827643e-05,2.970202440602281e-05
