term_str,n,tf,tfidf
mygig,20,0.0006467468632777131,0.0006467468632777131
pt,61,0.001972577932997025,0.000538516284953046
stow,34,0.0010994696675721122,0.0005245803473182164
hemi,74,0.0023929633941275385,0.0004213799369460746
swivel,20,0.0006467468632777131,0.00040875903162941764
signature,22,0.0007114215496054844,0.00037198720722310917
van,172,0.005562023024188333,0.00025450421602755545
pac,7,0.00022636140214719958,0.00022636140214719958
touring,69,0.00223127667830811,0.00017667526766544149
lifetime,29,0.000937782951752684,0.0001651353806950833
inferno,5,0.00016168671581942828,0.00016168671581942828
pacificas,4,0.0001293493726555426,0.00015212666654451962
srt,7,0.00022636140214719958,0.0001430656610702962
mds,4,0.0001293493726555426,0.0001293493726555426
modules,4,0.0001293493726555426,0.0001293493726555426
discontinue,6,0.00019402405898331392,0.0001226277094888253
tv,21,0.0006790842064415988,0.00011958079291712928
uconnect,4,0.0001293493726555426,0.00011318862545488294
gig,6,0.00019402405898331392,0.0001014510565153934
concorde,4,0.0001293493726555426,0.00010065337606825037
lhs,3,9.701202949165696e-05,9.701202949165696e-05
bruised,3,9.701202949165696e-05,9.701202949165696e-05
bas,3,9.701202949165696e-05,9.701202949165696e-05
chysler,3,9.701202949165696e-05,9.701202949165696e-05
vans,17,0.0005497348337860561,9.680349902815227e-05
watermark,2,6.46746863277713e-05,9.553235381707814e-05
duplex,2,6.46746863277713e-05,9.553235381707814e-05
dothan,2,6.46746863277713e-05,9.553235381707814e-05
tvs,2,6.46746863277713e-05,9.553235381707814e-05
countertop,2,6.46746863277713e-05,9.553235381707814e-05
immedate,2,6.46746863277713e-05,9.553235381707814e-05
vanilla,8,0.0002586987453110852,8.56275304724937e-05
minivans,14,0.00045272280429439917,7.972052861141952e-05
hardtop,6,0.00019402405898331392,7.720993571440388e-05
bailed,2,6.46746863277713e-05,7.606333327225981e-05
maxine,2,6.46746863277713e-05,7.606333327225981e-05
llc,2,6.46746863277713e-05,7.606333327225981e-05
franchise,2,6.46746863277713e-05,7.606333327225981e-05
discontinuing,3,9.701202949165696e-05,7.549003205118778e-05
pleanty,3,9.701202949165696e-05,7.549003205118778e-05
boulevard,3,9.701202949165696e-05,7.549003205118778e-05
restarting,3,9.701202949165696e-05,7.549003205118778e-05
retro,6,0.00019402405898331392,7.04652507591823e-05
rental,12,0.00038804811796662784,6.833188166693101e-05
villager,3,9.701202949165696e-05,6.780849867442945e-05
odessy,2,6.46746863277713e-05,6.46746863277713e-05
staggered,2,6.46746863277713e-05,6.46746863277713e-05
sattelite,2,6.46746863277713e-05,6.46746863277713e-05
cartoon,2,6.46746863277713e-05,6.46746863277713e-05
guzzle,2,6.46746863277713e-05,6.46746863277713e-05
flicker,2,6.46746863277713e-05,6.46746863277713e-05
auctions,2,6.46746863277713e-05,6.46746863277713e-05
proofed,2,6.46746863277713e-05,6.46746863277713e-05
meanwhile,2,6.46746863277713e-05,6.46746863277713e-05
refurbished,2,6.46746863277713e-05,6.46746863277713e-05
condo,2,6.46746863277713e-05,6.46746863277713e-05
ltd,5,0.00016168671581942828,6.434161309533657e-05
thunk,5,0.00016168671581942828,6.434161309533657e-05
sirius,20,0.0006467468632777131,6.267624693316286e-05
chryslers,4,0.0001293493726555426,6.171533497861368e-05
anemic,3,9.701202949165696e-05,6.131385474441265e-05
download,3,9.701202949165696e-05,6.131385474441265e-05
j,3,9.701202949165696e-05,6.131385474441265e-05
powertrain,12,0.00038804811796662784,6.0109414041809535e-05
daimler,2,6.46746863277713e-05,5.659431272744147e-05
lee,2,6.46746863277713e-05,5.659431272744147e-05
cruisers,2,6.46746863277713e-05,5.659431272744147e-05
farce,2,6.46746863277713e-05,5.659431272744147e-05
antiquated,2,6.46746863277713e-05,5.659431272744147e-05
tq,2,6.46746863277713e-05,5.659431272744147e-05
chargers,2,6.46746863277713e-05,5.659431272744147e-05
shouting,2,6.46746863277713e-05,5.659431272744147e-05
studio,2,6.46746863277713e-05,5.659431272744147e-05
recalibrated,2,6.46746863277713e-05,5.659431272744147e-05
getaways,2,6.46746863277713e-05,5.659431272744147e-05
fleet,4,0.0001293493726555426,5.636121712086888e-05
acoustics,3,9.701202949165696e-05,5.5687938273934694e-05
twelve,3,9.701202949165696e-05,5.5687938273934694e-05
dvd,57,0.0018432285603414823,5.5229069089194885e-05
thier,4,0.0001293493726555426,5.147329047626925e-05
screens,4,0.0001293493726555426,5.147329047626925e-05
wd,3,9.701202949165696e-05,5.07255282576967e-05
stains,3,9.701202949165696e-05,5.07255282576967e-05
disney,3,9.701202949165696e-05,5.07255282576967e-05
prime,2,6.46746863277713e-05,5.032668803412518e-05
equivalents,2,6.46746863277713e-05,5.032668803412518e-05
sources,2,6.46746863277713e-05,5.032668803412518e-05
culprit,2,6.46746863277713e-05,5.032668803412518e-05
lx,7,0.00022636140214719958,5.021799402776144e-05
vette,10,0.00032337343163885656,5.009117836817462e-05
convertibles,5,0.00016168671581942828,4.8672551362045854e-05
multivalve,1,3.233734316388565e-05,4.776617690853907e-05
blackouts,1,3.233734316388565e-05,4.776617690853907e-05
moths,1,3.233734316388565e-05,4.776617690853907e-05
definilety,1,3.233734316388565e-05,4.776617690853907e-05
tripletts,1,3.233734316388565e-05,4.776617690853907e-05
trillion,1,3.233734316388565e-05,4.776617690853907e-05
transfusion,1,3.233734316388565e-05,4.776617690853907e-05
trilled,1,3.233734316388565e-05,4.776617690853907e-05
exictment,1,3.233734316388565e-05,4.776617690853907e-05
