term_str,n,tf,tfidf
sxt,127,0.001776671050054559,0.001554696013692201
cummins,49,0.0006854872555328614,0.0004791350299720898
ram,152,0.0021264094457345904,0.0004717412767086283
hemi,174,0.002434179233933018,0.0004286376860704588
mygig,30,0.0004196860748160376,0.0004196860748160376
laramie,28,0.0003917070031616351,0.00034276762506599707
mds,24,0.0003357488598528301,0.0003357488598528301
slt,37,0.0005176128256064464,0.0003271433220125347
srt,27,0.00037771746733443386,0.0002387262079550929
stow,31,0.00043367561064323884,0.0002069158514914179
r,152,0.0021264094457345904,0.0002060703670465932
mega,21,0.00029378025237122634,0.00020534358427375278
cvt,73,0.0010212361153856915,0.00017983075335139937
inferno,12,0.00016787442992641504,0.00016787442992641504
calibers,8,0.00011191628661761003,0.00016531392571216948
rt,46,0.0006435186480512577,0.0001587382464634995
sunburst,16,0.00022383257323522007,0.00015645225468476404
mopar,15,0.0002098430374080188,0.00014667398876696628
firestone,15,0.0002098430374080188,0.00014667398876696628
chill,13,0.00018186396575361628,0.00014151767235090465
cab,100,0.0013989535827201253,0.00013557260989907448
crew,29,0.00040569653898883635,0.0001342828033938797
daytona,18,0.00025181164488962256,0.0001316669569268638
quad,39,0.0005455918972608488,0.0001210388802081349
lifetime,48,0.0006714977197056602,0.00011824487891598863
autostick,12,0.00016787442992641504,0.00011733919101357301
bed,24,0.0003357488598528301,0.0001111305959121763
uconnect,9,0.00012590582244481128,0.00011017530805692763
van,170,0.0023782210906242132,0.00010882142910543598
musicgate,5,6.994767913600626e-05,0.00010332120357010592
flexfuel,6,8.393721496320752e-05,9.87178248277061e-05
horn,23,0.00032175932402562883,9.685920791628056e-05
mopars,6,8.393721496320752e-05,8.393721496320752e-05
egr,6,8.393721496320752e-05,8.393721496320752e-05
ctd,4,5.595814330880502e-05,8.265696285608474e-05
megacab,5,6.994767913600626e-05,8.226485402308841e-05
cuda,5,6.994767913600626e-05,8.226485402308841e-05
retro,16,0.00022383257323522007,8.12910444392324e-05
diesel,70,0.0009792675079040877,7.753962148979796e-05
neon,20,0.00027979071654402505,7.638322152814348e-05
se,30,0.0004196860748160376,7.39030493224929e-05
dually,6,8.393721496320752e-05,7.345020537128508e-05
daimler,6,8.393721496320752e-05,7.345020537128508e-05
intrepid,9,0.00012590582244481128,6.58334784634319e-05
dpf,4,5.595814330880502e-05,6.581188321847074e-05
orange,39,0.0005455918972608488,6.295771424107766e-05
cummings,3,4.196860748160376e-05,6.199272214206355e-05
jake,3,4.196860748160376e-05,6.199272214206355e-05
employing,3,4.196860748160376e-05,6.199272214206355e-05
gigs,3,4.196860748160376e-05,6.199272214206355e-05
atty,3,4.196860748160376e-05,6.199272214206355e-05
cudas,3,4.196860748160376e-05,6.199272214206355e-05
chiller,3,4.196860748160376e-05,6.199272214206355e-05
whistling,11,0.0001538848940992138,6.123695609233672e-05
fading,6,8.393721496320752e-05,5.8669595506786505e-05
powertrain,27,0.00037771746733443386,5.850917601095473e-05
duramax,7,9.792675079040878e-05,5.621301690067474e-05
rams,4,5.595814330880502e-05,5.595814330880502e-05
modules,4,5.595814330880502e-05,5.595814330880502e-05
swivel,6,8.393721496320752e-05,5.305026843446509e-05
sirius,38,0.0005316023614336476,5.15175917616483e-05
muscle,46,0.0006435186480512577,5.095460840758151e-05
rocker,9,0.00012590582244481128,5.010296407554823e-05
beverage,4,5.595814330880502e-05,4.896680358085673e-05
dodges,5,6.994767913600626e-05,4.8891329588988754e-05
stalling,8,0.00011191628661761003,4.8765123478519054e-05
acoustics,6,8.393721496320752e-05,4.8182585914864065e-05
trailer,55,0.000769424470496069,4.78181202426687e-05
recalls,21,0.00029378025237122634,4.550713689740924e-05
kicker,5,6.994767913600626e-05,4.42085570287209e-05
army,6,8.393721496320752e-05,4.3888985642287925e-05
diesels,6,8.393721496320752e-05,4.3888985642287925e-05
gig,6,8.393721496320752e-05,4.3888985642287925e-05
bee,4,5.595814330880502e-05,4.3543899184893746e-05
cali,4,5.595814330880502e-05,4.3543899184893746e-05
harness,10,0.00013989535827201252,4.211269909403503e-05
emissions,11,0.0001538848940992138,4.201077184047892e-05
ves,3,4.196860748160376e-05,4.196860748160376e-05
amsoil,3,4.196860748160376e-05,4.196860748160376e-05
caravans,3,4.196860748160376e-05,4.196860748160376e-05
chattering,3,4.196860748160376e-05,4.196860748160376e-05
gawkers,3,4.196860748160376e-05,4.196860748160376e-05
swallowed,3,4.196860748160376e-05,4.196860748160376e-05
honking,3,4.196860748160376e-05,4.196860748160376e-05
quebec,3,4.196860748160376e-05,4.196860748160376e-05
particulate,2,2.797907165440251e-05,4.132848142804237e-05
thunks,2,2.797907165440251e-05,4.132848142804237e-05
hoss,2,2.797907165440251e-05,4.132848142804237e-05
kohmo,2,2.797907165440251e-05,4.132848142804237e-05
excutives,2,2.797907165440251e-05,4.132848142804237e-05
sooting,2,2.797907165440251e-05,4.132848142804237e-05
raddle,2,2.797907165440251e-05,4.132848142804237e-05
taures,2,2.797907165440251e-05,4.132848142804237e-05
stealership,2,2.797907165440251e-05,4.132848142804237e-05
plum,2,2.797907165440251e-05,4.132848142804237e-05
chagrin,2,2.797907165440251e-05,4.132848142804237e-05
chillzone,2,2.797907165440251e-05,4.132848142804237e-05
lime,2,2.797907165440251e-05,4.132848142804237e-05
capitalize,2,2.797907165440251e-05,4.132848142804237e-05
oportunity,2,2.797907165440251e-05,4.132848142804237e-05
