term_str,n,tf,tfidf
sync,244,0.002072169238477805,0.0010834932514237872
vista,54,0.0004585948314663994,0.0006774001728636
sel,92,0.0007813097128686805,0.0006079771300056494
xlt,72,0.0006114597752885326,0.00042739204178472674
shelby,39,0.0003312073782812885,0.000289826746883477
shaker,23,0.00019532742821717013,0.00028852229584931113
ses,43,0.00036517736579731806,0.0002841632238069883
lariat,34,0.0002887448938862515,0.00025266947164200563
supercab,19,0.00016135744070114053,0.00023834450526682223
feh,18,0.00015286494382213314,0.0002258000576212
trac,58,0.000492564818982429,0.0002146245639915021
bullitt,18,0.00015286494382213314,0.00017978312424524857
bed,60,0.0005095498127404438,0.00016865753278091453
ranch,30,0.0002547749063702219,0.00013321638337177713
microsoft,13,0.00011040245942709616,0.0001298433675104573
pony,32,0.0002717599001282367,0.00012966242453167444
fords,64,0.0005435198002564734,0.00012057918807863041
gt,115,0.0009766371410858507,0.00011269749854131176
se,71,0.0006029672784095252,0.00010617726722451077
supercrew,21,0.00017834243445915535,0.00010237413374223656
mustangs,25,0.00021231242197518492,0.00010129876916537066
audiophile,25,0.00021231242197518492,9.25105879273716e-05
sporttrac,7,5.944747815305178e-05,8.781113351935557e-05
eddie,21,0.00017834243445915535,8.509096609891136e-05
stang,14,0.00011889495630610356,8.310400812480798e-05
vapor,11,9.341746566908137e-05,8.174600553123712e-05
crew,29,0.0002462824094912145,8.151780751077534e-05
fastback,6,5.095498127404438e-05,7.526668587373333e-05
ptu,6,5.095498127404438e-05,7.526668587373333e-05
expy,6,5.095498127404438e-05,7.526668587373333e-05
radiators,6,5.095498127404438e-05,7.526668587373333e-05
retro,22,0.00018683493133816274,6.785431846083824e-05
el,15,0.00012738745318511096,6.660819168588857e-05
bauer,16,0.00013587995006411835,6.483121226583722e-05
torch,5,4.246248439503699e-05,6.272223822811112e-05
roush,5,4.246248439503699e-05,6.272223822811112e-05
saleen,6,5.095498127404438e-05,5.992770808174952e-05
davidson,6,5.095498127404438e-05,5.992770808174952e-05
sony,9,7.643247191106657e-05,5.947602358750917e-05
camel,8,6.793997503205918e-05,5.945164038635426e-05
rangers,7,5.944747815305178e-05,5.944747815305178e-05
f,111,0.000942667153569821,5.858479035525585e-05
duty,29,0.0002462824094912145,5.46374445981294e-05
cvt,36,0.0003057298876442663,5.383636084623081e-05
st,13,0.00011040245942709616,5.267535996599274e-05
escort,13,0.00011040245942709616,5.267535996599274e-05
ambient,17,0.00014437244694312574,5.2432882447011367e-05
crv,35,0.0002972373907652589,5.234090637827996e-05
king,35,0.0002972373907652589,5.234090637827996e-05
dually,7,5.944747815305178e-05,5.202018533805998e-05
cab,63,0.000535027303377466,5.184950292997558e-05
sirius,63,0.000535027303377466,5.184950292997558e-05
cuv,30,0.0002547749063702219,5.05391004153256e-05
mach,4,3.396998751602959e-05,5.017779058248889e-05
fmc,4,3.396998751602959e-05,5.017779058248889e-05
sirrus,4,3.396998751602959e-05,5.017779058248889e-05
duratec,4,3.396998751602959e-05,5.017779058248889e-05
kiwi,5,4.246248439503699e-05,4.9939756734791275e-05
cobra,12,0.00010190996254808876,4.862340919937792e-05
diesel,72,0.0006114597752885326,4.8416146915346674e-05
fleet,13,0.00011040245942709616,4.810550572223323e-05
escapes,8,6.793997503205918e-05,4.748800464274741e-05
cs,7,5.944747815305178e-05,4.625912945695158e-05
focuses,6,5.095498127404438e-05,4.45887302897657e-05
suede,11,9.341746566908137e-05,4.4571458432763095e-05
explorers,13,0.00011040245942709616,4.3933555661832926e-05
platinum,13,0.00011040245942709616,4.3933555661832926e-05
stripes,9,7.643247191106657e-05,4.38746287466728e-05
egr,5,4.246248439503699e-05,4.246248439503699e-05
sage,7,5.944747815305178e-05,4.155200406240399e-05
svt,7,5.944747815305178e-05,4.155200406240399e-05
harley,10,8.492496879007398e-05,4.0519507666148265e-05
redfire,4,3.396998751602959e-05,3.9951805387833015e-05
parchment,4,3.396998751602959e-05,3.9951805387833015e-05
stx,4,3.396998751602959e-05,3.9951805387833015e-05
ironman,4,3.396998751602959e-05,3.9951805387833015e-05
mufflers,4,3.396998751602959e-05,3.9951805387833015e-05
kr,4,3.396998751602959e-05,3.9951805387833015e-05
ifs,4,3.396998751602959e-05,3.9951805387833015e-05
trailer,73,0.00061995227216754,3.8528735999402504e-05
awd,150,0.0012738745318511095,3.816938715269068e-05
dearborn,3,2.547749063702219e-05,3.7633342936866666e-05
egde,3,2.547749063702219e-05,3.7633342936866666e-05
fect,3,2.547749063702219e-05,3.7633342936866666e-05
perille,3,2.547749063702219e-05,3.7633342936866666e-05
steeda,3,2.547749063702219e-05,3.7633342936866666e-05
stiched,3,2.547749063702219e-05,3.7633342936866666e-05
carroll,3,2.547749063702219e-05,3.7633342936866666e-05
sounder,3,2.547749063702219e-05,3.7633342936866666e-05
govt,3,2.547749063702219e-05,3.7633342936866666e-05
unloaded,7,5.944747815305178e-05,3.757218624842115e-05
windstar,11,9.341746566908137e-05,3.7174547098474014e-05
adrenalin,5,4.246248439503699e-05,3.7157275241471416e-05
camaro,16,0.00013587995006411835,3.709539921546146e-05
radiator,19,0.00016135744070114053,3.57969464608434e-05
synch,6,5.095498127404438e-05,3.561600348206056e-05
xl,17,0.00014437244694312574,3.561268835766664e-05
towing,90,0.0007643247191106657,3.4973581119996964e-05
regen,4,3.396998751602959e-05,3.396998751602959e-05
ink,4,3.396998751602959e-05,3.396998751602959e-05
