term_str,n,tf,tfidf
sierra,77,0.0022469942803781955,0.0008160586694813696
slt,41,0.0011964514999416366,0.0007561851232322175
denali,109,0.0031808100852106923,0.0005601128527217595
sle,20,0.0005836348780203105,0.00045415621009900996
gm,192,0.005602894828994981,0.00034820818535596275
onstar,27,0.0007879070853274192,0.00034331362723703774
allison,12,0.0003501809268121863,0.00027249372605940597
duramax,15,0.0004377261585152329,0.00025126850169008354
crew,23,0.0006711801097233571,0.00022215606507391042
xl,29,0.0008462705731294502,0.00020875153691199565
yukonxl,6,0.00017509046340609315,0.0002059223635559148
bed,21,0.000612816621921326,0.00020283814637183124
management,16,0.0004669079024162484,0.00016957063261950536
yukons,7,0.00020427220730710868,0.00015895467353465348
stabilitrak,6,0.00017509046340609315,0.0001532148821159741
cab,52,0.0015174506828528073,0.00014705616541434965
vortec,5,0.00014590871950507763,0.00014590871950507763
acadias,4,0.0001167269756040621,0.0001372815757039432
chairs,17,0.0004960896463172639,0.00013543310450226276
sunroofs,8,0.0002334539512081242,0.00012206810908844115
lint,7,0.00020427220730710868,0.00011725863412203898
denalis,4,0.0001167269756040621,0.0001167269756040621
bose,20,0.0005836348780203105,0.00010277300049940542
escalades,4,0.0001167269756040621,0.00010214325474398275
trailers,8,0.0002334539512081242,0.00010172255621838155
captains,8,0.0002334539512081242,0.00010172255621838155
captain,11,0.0003209991829111708,9.663038263989125e-05
silverado,12,0.0003501809268121863,8.637994630841198e-05
cylendar,2,5.836348780203105e-05,8.620994833195181e-05
sattellite,2,5.836348780203105e-05,8.620994833195181e-05
denalli,2,5.836348780203105e-05,8.620994833195181e-05
suppost,2,5.836348780203105e-05,8.620994833195181e-05
utilizes,2,5.836348780203105e-05,8.620994833195181e-05
stabilatrac,2,5.836348780203105e-05,8.620994833195181e-05
goofed,2,5.836348780203105e-05,8.620994833195181e-05
arcadia,5,0.00014590871950507763,8.375616723002784e-05
suburbans,6,0.00017509046340609315,8.353938158976231e-05
headsets,4,0.0001167269756040621,8.158865464410166e-05
stabilitrac,3,8.754523170304658e-05,7.660744105798706e-05
stealth,7,0.00020427220730710868,7.418715177103359e-05
tranmission,4,0.0001167269756040621,7.377415836411878e-05
crewcab,4,0.0001167269756040621,7.377415836411878e-05
hd,8,0.0002334539512081242,7.027664191992091e-05
property,2,5.836348780203105e-05,6.86407878519716e-05
captian,2,5.836348780203105e-05,6.86407878519716e-05
surburban,2,5.836348780203105e-05,6.86407878519716e-05
lansing,2,5.836348780203105e-05,6.86407878519716e-05
volleyball,2,5.836348780203105e-05,6.86407878519716e-05
programmer,3,8.754523170304658e-05,6.812343151485149e-05
ebony,4,0.0001167269756040621,6.700493378402228e-05
towing,49,0.0014299054511497608,6.542888518364311e-05
bench,10,0.00029181743901015526,6.473933396065029e-05
rows,11,0.0003209991829111708,6.367585477515958e-05
brick,6,0.00017509046340609315,6.358898723231451e-05
reflect,6,0.00017509046340609315,6.358898723231451e-05
xm,34,0.0009921792926345279,6.166186615678507e-05
trailer,34,0.0009921792926345279,6.166186615678507e-05
porche,3,8.754523170304658e-05,6.119149098307623e-05
leaks,13,0.00037936267071320183,5.876402123890106e-05
lift,13,0.00037936267071320183,5.876402123890106e-05
thermometer,2,5.836348780203105e-05,5.836348780203105e-05
discoloring,2,5.836348780203105e-05,5.836348780203105e-05
accesories,2,5.836348780203105e-05,5.836348780203105e-05
stabilitrack,2,5.836348780203105e-05,5.836348780203105e-05
nerf,2,5.836348780203105e-05,5.836348780203105e-05
birch,2,5.836348780203105e-05,5.836348780203105e-05
showy,2,5.836348780203105e-05,5.836348780203105e-05
afm,2,5.836348780203105e-05,5.836348780203105e-05
higlander,2,5.836348780203105e-05,5.836348780203105e-05
easliy,2,5.836348780203105e-05,5.836348780203105e-05
gmcs,2,5.836348780203105e-05,5.836348780203105e-05
safari,2,5.836348780203105e-05,5.836348780203105e-05
overblown,2,5.836348780203105e-05,5.836348780203105e-05
accumulation,2,5.836348780203105e-05,5.836348780203105e-05
motors,10,0.00029181743901015526,5.7887140704690524e-05
tows,8,0.0002334539512081242,5.758663087227466e-05
chevrolets,3,8.754523170304658e-05,5.533061877308908e-05
teh,3,8.754523170304658e-05,5.533061877308908e-05
arbitration,3,8.754523170304658e-05,5.533061877308908e-05
collects,3,8.754523170304658e-05,5.533061877308908e-05
farm,5,0.00014590871950507763,5.2990822693595424e-05
liner,5,0.00014590871950507763,5.2990822693595424e-05
fords,8,0.0002334539512081242,5.179146716852023e-05
envoys,2,5.836348780203105e-05,5.107162737199137e-05
bravada,2,5.836348780203105e-05,5.107162737199137e-05
roader,2,5.836348780203105e-05,5.107162737199137e-05
sprays,2,5.836348780203105e-05,5.107162737199137e-05
activating,2,5.836348780203105e-05,5.107162737199137e-05
powerstroke,2,5.836348780203105e-05,5.107162737199137e-05
eveything,2,5.836348780203105e-05,5.107162737199137e-05
overs,4,0.0001167269756040621,5.0861278109190774e-05
beeping,3,8.754523170304658e-05,5.025370033801671e-05
navigator,6,0.00017509046340609315,4.7799919236092736e-05
cuvs,4,0.0001167269756040621,4.6450333684141195e-05
outs,3,8.754523170304658e-05,4.577554090816543e-05
tonneau,3,8.754523170304658e-05,4.577554090816543e-05
rapid,3,8.754523170304658e-05,4.577554090816543e-05
wd,3,8.754523170304658e-05,4.577554090816543e-05
desirable,3,8.754523170304658e-05,4.577554090816543e-05
oval,2,5.836348780203105e-05,4.5415621009901e-05
