term_str,n,tf,tfidf
vcm,85,0.0004321191632139498,0.0004321191632139498
ex,582,0.0029587453293002212,0.0003985387763824992
cr,463,0.0023537785008006912,0.00036460490314633125
crv,342,0.0017386441625784805,0.00030616003963825517
lx,231,0.0011743473729696754,0.00026052749630857544
vtec,47,0.00023893647848300756,0.00023893647848300756
si,179,0.0009099921201799649,0.00022446987960706916
exl,76,0.00038636536946188454,0.00022178580283829406
ody,36,0.0001830151750082611,0.0001830151750082611
rtl,16,8.134007778144938e-05,0.00012014915775152944
res,27,0.00013726138125619582,0.00012011211769693654
bed,65,0.0003304440659871381,0.00010937474511421971
vsa,21,0.00010675885208815231,0.00010675885208815231
accords,89,0.0004524541826593122,8.975227465111808e-05
hondas,151,0.0007676469840624285,8.858140984729674e-05
van,318,0.0016166340459063064,7.397311709562388e-05
minder,12,6.1005058336087035e-05,7.174751586725389e-05
navi,102,0.0005185429958567398,6.984700204641738e-05
lxp,9,4.5753793752065277e-05,6.75839012352353e-05
pax,20,0.00010167509722681172,6.426102180477421e-05
civics,41,0.00020843394931496404,6.274487085851011e-05
vp,15,7.62563229201088e-05,5.933895302994156e-05
dx,15,7.62563229201088e-05,5.933895302994156e-05
flicker,11,5.592130347474645e-05,5.592130347474645e-05
rtx,7,3.5586284029384106e-05,5.2565256516294136e-05
tiered,7,3.5586284029384106e-05,5.2565256516294136e-05
rts,7,3.5586284029384106e-05,5.2565256516294136e-05
sc,37,0.0001880989298696017,5.135124712822904e-05
nighthawk,8,4.067003889072469e-05,4.7831677244835926e-05
flickering,9,4.5753793752065277e-05,4.5753793752065277e-05
taffeta,6,3.0502529168043518e-05,4.505593415682354e-05
belize,6,3.0502529168043518e-05,4.505593415682354e-05
crx,14,7.117256805876821e-05,4.4982715263341954e-05
drown,10,5.083754861340586e-05,4.44859695173839e-05
shifters,35,0.00017793142014692052,4.3890758582387825e-05
tpms,15,7.62563229201088e-05,4.377351371808436e-05
tier,15,7.62563229201088e-05,4.377351371808436e-05
magic,28,0.00014234513611753642,4.28501557082508e-05
rav,35,0.00017793142014692052,3.9473863077056885e-05
coupe,252,0.0012811062250578278,3.838607199164072e-05
hospital,5,2.541877430670293e-05,3.754661179735295e-05
mugen,5,2.541877430670293e-05,3.754661179735295e-05
paddle,41,0.00020843394931496404,3.670339656482007e-05
hch,6,3.0502529168043518e-05,3.5873757933626946e-05
se,40,0.00020335019445362343,3.580819177055616e-05
toaster,8,4.067003889072469e-05,3.5588775613907124e-05
tec,7,3.5586284029384106e-05,3.5586284029384106e-05
np,7,3.5586284029384106e-05,3.5586284029384106e-05
prelude,16,8.134007778144938e-05,3.544219573972699e-05
ridge,11,5.592130347474645e-05,3.5343561992625813e-05
lint,12,6.1005058336087035e-05,3.501881097446748e-05
voice,50,0.0002541877430670293,3.423872649334185e-05
flexible,15,7.62563229201088e-05,3.3227058505994055e-05
eco,26,0.00013217762639485523,3.260456351834524e-05
insight,8,4.067003889072469e-05,3.1647441615968834e-05
digital,28,0.00014234513611753642,3.157909046164551e-05
del,7,3.5586284029384106e-05,3.1140178662168735e-05
arrangements,7,3.5586284029384106e-05,3.1140178662168735e-05
glacier,7,3.5586284029384106e-05,3.1140178662168735e-05
tray,20,0.00010167509722681172,3.0607254077322e-05
atomic,6,3.0502529168043518e-05,3.0502529168043518e-05
milano,6,3.0502529168043518e-05,3.0502529168043518e-05
astonished,6,3.0502529168043518e-05,3.0502529168043518e-05
sloshing,6,3.0502529168043518e-05,3.0502529168043518e-05
blaze,4,2.0335019445362344e-05,3.003728943788236e-05
soundproofing,5,2.541877430670293e-05,2.9894798278022453e-05
louis,5,2.541877430670293e-05,2.9894798278022453e-05
odysseys,5,2.541877430670293e-05,2.9894798278022453e-05
mt,26,0.00013217762639485523,2.932344114295654e-05
shuts,12,6.1005058336087035e-05,2.910680997756005e-05
calculated,19,9.659134236547113e-05,2.90768913734559e-05
touring,72,0.0003660303500165222,2.8982739205556478e-05
condenser,9,4.5753793752065277e-05,2.8917459812148397e-05
usb,13,6.608881319742762e-05,2.879678403852818e-05
link,17,8.642383264278997e-05,2.8605702568334386e-05
rsx,14,7.117256805876821e-05,2.832241235051741e-05
habits,25,0.00012709387153351465,2.8195616483612057e-05
management,15,7.62563229201088e-05,2.7694611403840187e-05
weaker,7,3.5586284029384106e-05,2.769151141397273e-05
reputation,47,0.00023893647848300756,2.7571697104787727e-05
tanks,34,0.00017284766528557994,2.6774442131696036e-05
deactivation,6,3.0502529168043518e-05,2.6691581710430343e-05
configurations,11,5.592130347474645e-05,2.6681242479430043e-05
table,11,5.592130347474645e-05,2.6681242479430043e-05
xm,84,0.00042703540835260925,2.6539356736752664e-05
bikes,23,0.00011692636181083348,2.593996716492309e-05
shelf,14,7.117256805876821e-05,2.584830397691751e-05
projector,5,2.541877430670293e-05,2.541877430670293e-05
mower,7,3.5586284029384106e-05,2.4873745102321406e-05
sol,7,3.5586284029384106e-05,2.4873745102321406e-05
noisier,12,6.1005058336087035e-05,2.4276353443300634e-05
royal,10,5.083754861340586e-05,2.4255674981300037e-05
subcompact,9,4.5753793752065277e-05,2.3923686268895242e-05
theft,9,4.5753793752065277e-05,2.3923686268895242e-05
asheville,4,2.0335019445362344e-05,2.3915838622417963e-05
swerve,6,3.0502529168043518e-05,2.3735581211976624e-05
split,26,0.00013217762639485523,2.3275324650861502e-05
headrest,23,0.00011692636181083348,2.3194408055906917e-05
cylinders,29,0.000147428890978877,2.28370241711525e-05
rev,29,0.000147428890978877,2.28370241711525e-05
