term_str,n,tf,tfidf
gls,125,0.0012144293639304764,0.0009450097280451133
fe,443,0.004303937665769609,0.0008537620167174192
santa,412,0.00400275918351485,0.0005391659536743964
se,192,0.0018653635029972117,0.000328474207839295
vc,21,0.00020402413314032003,0.000301368383537321
vera,16,0.00015544695858310097,0.00018281980923637558
hyundais,24,0.00023317043787465146,0.00018144186778466174
lexicon,12,0.00011658521893732573,0.00017221050487846912
tib,12,0.00011658521893732573,0.00017221050487846912
sonatas,12,0.00011658521893732573,0.00013711485692728169
sante,29,0.0002817476124318705,0.00013442777435776322
sf,29,0.0002817476124318705,0.0001227654841422892
esc,26,0.0002526013076975391,0.00012052145287247737
korean,20,0.00019430869822887622,0.00011153926837484457
ltd,27,0.0002623167426089829,0.0001043863268286393
cruz,18,0.0001748778284059886,0.00010038534153736012
rebate,56,0.0005440643550408534,9.580497728646105e-05
crv,48,0.0004663408757493029,8.211855195982376e-05
tuscon,12,0.00011658521893732573,8.148957098613827e-05
hyudai,5,4.8577174557219054e-05,7.175437703269547e-05
clunkers,22,0.00021373956805176384,7.074634766597692e-05
xm,115,0.0011172750148160382,6.943630343360092e-05
elantras,6,5.8292609468662865e-05,6.855742846364084e-05
van,153,0.0014864615414509031,6.801674995174633e-05
hyndai,7,6.800804438010668e-05,6.800804438010668e-05
shiftronic,10,9.715434911443811e-05,6.79079758217819e-05
cr,44,0.0004274791361035277,6.621735603544872e-05
pzev,9,8.74389142029943e-05,6.11171782396037e-05
usb,14,0.00013601608876021335,5.926609579282926e-05
sonota,6,5.8292609468662865e-05,5.8292609468662865e-05
santafe,6,5.8292609468662865e-05,5.8292609468662865e-05
rav,27,0.0002623167426089829,5.819464135123845e-05
swish,4,3.886173964577524e-05,5.740350162615638e-05
tucsan,4,3.886173964577524e-05,5.740350162615638e-05
oddessey,4,3.886173964577524e-05,5.740350162615638e-05
pe,4,3.886173964577524e-05,5.740350162615638e-05
elentra,4,3.886173964577524e-05,5.740350162615638e-05
khaki,5,4.8577174557219054e-05,5.713119038636737e-05
alabama,7,6.800804438010668e-05,4.753558307524732e-05
entorage,4,3.886173964577524e-05,4.5704952309093895e-05
korea,6,5.8292609468662865e-05,4.5360466946165435e-05
warrantee,6,5.8292609468662865e-05,4.5360466946165435e-05
whisper,8,7.772347929155049e-05,4.461570734993783e-05
hyundi,3,2.9146304734331433e-05,4.305262621961728e-05
saburu,3,2.9146304734331433e-05,4.305262621961728e-05
cvvt,3,2.9146304734331433e-05,4.305262621961728e-05
azeras,3,2.9146304734331433e-05,4.305262621961728e-05
elanta,3,2.9146304734331433e-05,4.305262621961728e-05
shootout,3,2.9146304734331433e-05,4.305262621961728e-05
gsi,3,2.9146304734331433e-05,4.305262621961728e-05
hyundia,5,4.8577174557219054e-05,4.250800374003926e-05
camel,5,4.8577174557219054e-05,4.250800374003926e-05
bbb,5,4.8577174557219054e-05,4.250800374003926e-05
excel,8,7.772347929155049e-05,4.063995533078822e-05
jd,8,7.772347929155049e-05,4.063995533078822e-05
gs,30,0.0002914630473433143,3.9259656820951196e-05
lexis,4,3.886173964577524e-05,3.886173964577524e-05
projector,4,3.886173964577524e-05,3.886173964577524e-05
drill,4,3.886173964577524e-05,3.886173964577524e-05
wings,4,3.886173964577524e-05,3.886173964577524e-05
platinum,10,9.715434911443811e-05,3.866160252912567e-05
saftey,10,9.715434911443811e-05,3.866160252912567e-05
corollas,6,5.8292609468662865e-05,3.6842282429951067e-05
infinity,47,0.0004566254408378591,3.615617138258767e-05
affairs,3,2.9146304734331433e-05,3.427871423182042e-05
inception,3,2.9146304734331433e-05,3.427871423182042e-05
fees,6,5.8292609468662865e-05,3.346178051245337e-05
vans,19,0.0001845932633174324,3.250526015076357e-05
beige,19,0.0001845932633174324,3.250526015076357e-05
civics,11,0.00010686978402588192,3.217101062192184e-05
touches,16,0.00015544695858310097,3.083564845931988e-05
cuv,16,0.00015544695858310097,3.083564845931988e-05
cassette,5,4.8577174557219054e-05,3.0701902024959225e-05
exellent,4,3.886173964577524e-05,3.024031129744362e-05
cash,32,0.00031089391716620195,3.0128733556702246e-05
touring,39,0.0003789019615463086,3.0001929445125942e-05
cherry,7,6.800804438010668e-05,2.963304789641463e-05
millage,11,0.00010686978402588192,2.9175586984242673e-05
hondas,26,0.0002526013076975391,2.9148528463832437e-05
gt,26,0.0002526013076975391,2.9148528463832437e-05
koreans,3,2.9146304734331433e-05,2.9146304734331433e-05
nisson,3,2.9146304734331433e-05,2.9146304734331433e-05
interference,3,2.9146304734331433e-05,2.9146304734331433e-05
cx,15,0.00014573152367165716,2.8908420430612388e-05
michelin,12,0.00011658521893732573,2.8758347988386772e-05
rick,2,1.943086982288762e-05,2.870175081307819e-05
rebalanced,2,1.943086982288762e-05,2.870175081307819e-05
toooo,2,1.943086982288762e-05,2.870175081307819e-05
michellin,2,1.943086982288762e-05,2.870175081307819e-05
edwards,2,1.943086982288762e-05,2.870175081307819e-05
slave,2,1.943086982288762e-05,2.870175081307819e-05
cabernet,2,1.943086982288762e-05,2.870175081307819e-05
shortlisted,2,1.943086982288762e-05,2.870175081307819e-05
drvr,2,1.943086982288762e-05,2.870175081307819e-05
overpaid,2,1.943086982288762e-05,2.870175081307819e-05
sonato,2,1.943086982288762e-05,2.870175081307819e-05
outrageously,2,1.943086982288762e-05,2.870175081307819e-05
sonta,2,1.943086982288762e-05,2.870175081307819e-05
pennzoil,2,1.943086982288762e-05,2.870175081307819e-05
hmg,2,1.943086982288762e-05,2.870175081307819e-05
