term_str,n,tf,tfidf
fx,85,0.0024697097364674435,0.0005479020169506434
qx,15,0.00043583112996484295,0.0003813789392124677
rosewood,8,0.0002324432693145829,0.0003433468936210971
ex,46,0.0013365487985588518,0.00018003121711023578
moonlight,4,0.00011622163465729145,0.00017167344681054856
graphite,10,0.0002905540866432286,0.000166787130699282
bose,32,0.0009297730772583316,0.0001637249118104948
voice,39,0.0011331609379085917,0.0001526351623325912
studio,6,0.00017433245198593717,0.00015255157568498708
prem,13,0.0003777203126361972,0.0001371796708419308
slate,9,0.0002614986779789058,0.00013673210063407733
tramlining,4,0.00011622163465729145,0.00013668724863360332
fxs,3,8.716622599296859e-05,0.0001287550851079114
itch,3,8.716622599296859e-05,0.0001287550851079114
washi,3,8.716622599296859e-05,0.0001287550851079114
lakeshore,3,8.716622599296859e-05,0.0001287550851079114
deluxe,7,0.00020338786065026004,0.00011675099148949739
cf,4,0.00011622163465729145,0.00011622163465729145
cameras,5,0.0001452770433216143,0.00011304751291275294
hardrive,3,8.716622599296859e-05,0.00010251543647520249
autumn,3,8.716622599296859e-05,0.00010251543647520249
intelligent,8,0.0002324432693145829,0.00010128217324262715
shifters,14,0.0004067757213005201,0.00010034031631982563
gs,25,0.0007263852166080716,9.784305277730205e-05
ds,4,0.00011622163465729145,9.043801033020235e-05
gb,4,0.00011622163465729145,9.043801033020235e-05
cooled,10,0.0002905540866432286,8.746549544236312e-05
recognition,10,0.0002905540866432286,8.746549544236312e-05
paddle,17,0.0004939419472934887,8.697885939932536e-05
gi,2,5.811081732864573e-05,8.583672340527428e-05
katana,2,5.811081732864573e-05,8.583672340527428e-05
vlsd,2,5.811081732864573e-05,8.583672340527428e-05
culprits,2,5.811081732864573e-05,8.583672340527428e-05
navig,2,5.811081732864573e-05,8.583672340527428e-05
interface,13,0.0003777203126361972,8.379677906303958e-05
departure,5,0.0001452770433216143,8.3393565349641e-05
analog,5,0.0001452770433216143,8.3393565349641e-05
splash,6,0.00017433245198593717,8.317771822988565e-05
pkg,36,0.0010459947119156232,8.28231646487054e-05
esv,4,0.00011622163465729145,8.12354364803462e-05
platinum,7,0.00020338786065026004,8.093616703095165e-05
advanced,15,0.00043583112996484295,7.674605241116944e-05
cds,15,0.00043583112996484295,7.674605241116944e-05
rips,3,8.716622599296859e-05,7.627578784249354e-05
ivory,3,8.716622599296859e-05,7.627578784249354e-05
sync,5,0.0001452770433216143,7.596227813004294e-05
laser,5,0.0001452770433216143,7.596227813004294e-05
commands,9,0.0002614986779789058,7.138947173122699e-05
technological,5,0.0001452770433216143,6.931476519157137e-05
tech,79,0.0022953772844815064,6.877690231042837e-05
coupe,79,0.0022953772844815064,6.877690231042837e-05
awd,79,0.0022953772844815064,6.877690231042837e-05
differs,2,5.811081732864573e-05,6.834362431680166e-05
thirteen,2,5.811081732864573e-05,6.834362431680166e-05
toggles,2,5.811081732864573e-05,6.834362431680166e-05
vq,2,5.811081732864573e-05,6.834362431680166e-05
wasteful,2,5.811081732864573e-05,6.834362431680166e-05
shorties,2,5.811081732864573e-05,6.834362431680166e-05
similiarly,2,5.811081732864573e-05,6.834362431680166e-05
luxe,2,5.811081732864573e-05,6.834362431680166e-05
stillen,2,5.811081732864573e-05,6.834362431680166e-05
sloping,2,5.811081732864573e-05,6.834362431680166e-05
vdc,3,8.716622599296859e-05,6.782850774765176e-05
recording,3,8.716622599296859e-05,6.782850774765176e-05
xi,3,8.716622599296859e-05,6.782850774765176e-05
pampered,3,8.716622599296859e-05,6.782850774765176e-05
series,73,0.002121044832495569,6.355334010963633e-05
packages,35,0.0010169393032513003,6.320064898769664e-05
songs,7,0.00020338786065026004,6.122584680965419e-05
factoring,3,8.716622599296859e-05,6.092657736025965e-05
copper,3,8.716622599296859e-05,6.092657736025965e-05
music,33,0.0009588284859226545,5.9589183331256834e-05
rca,2,5.811081732864573e-05,5.811081732864573e-05
nitpicks,2,5.811081732864573e-05,5.811081732864573e-05
bimmer,8,0.0002324432693145829,5.7337323611328933e-05
camera,43,0.0012493825725658832,5.716861127085543e-05
xf,3,8.716622599296859e-05,5.509107836581389e-05
infinitis,3,8.716622599296859e-05,5.509107836581389e-05
maximas,3,8.716622599296859e-05,5.509107836581389e-05
navi,14,0.0004067757213005201,5.479210955528914e-05
flash,14,0.0004067757213005201,5.479210955528914e-05
guards,5,0.0001452770433216143,5.276141186228108e-05
liquid,5,0.0001452770433216143,5.276141186228108e-05
surround,8,0.0002324432693145829,5.1567248654178203e-05
restaurants,2,5.811081732864573e-05,5.0850525228329026e-05
artificial,2,5.811081732864573e-05,5.0850525228329026e-05
transmit,2,5.811081732864573e-05,5.0850525228329026e-05
jukebox,2,5.811081732864573e-05,5.0850525228329026e-05
sneaks,2,5.811081732864573e-05,5.0850525228329026e-05
harddrive,2,5.811081732864573e-05,5.0850525228329026e-05
bra,4,0.00011622163465729145,5.0641086621313575e-05
restricted,3,8.716622599296859e-05,5.0036139209784596e-05
rwd,11,0.0003196094953075515,4.950813725319391e-05
nav,111,0.0032251503617398377,4.748471706128971e-05
evaluating,3,8.716622599296859e-05,4.557736687802576e-05
civilized,3,8.716622599296859e-05,4.557736687802576e-05
understands,3,8.716622599296859e-05,4.557736687802576e-05
rocketship,2,5.811081732864573e-05,4.521900516510118e-05
guidance,2,5.811081732864573e-05,4.521900516510118e-05
techy,2,5.811081732864573e-05,4.521900516510118e-05
