term_str,n,tf,tfidf
sahara,47,0.0009115416690909796,0.0007976548045889317
jgc,38,0.0007369911367118559,0.0007369911367118559
overland,30,0.0005818351079304125,0.0006842911846486771
wranglers,27,0.0005236515971373713,0.0006158620661838094
rubicon,35,0.0006788076259188146,0.0005282150028786783
freedom,35,0.0006788076259188146,0.00047446616923179654
laredo,32,0.0006206241151257733,0.00043379764044049966
unlimited,55,0.001066697697872423,0.00042448169114179456
jeeps,86,0.0016679273094005159,0.00041143152125364926
jk,16,0.0003103120575628867,0.0003649552984792945
slider,24,0.00046546808634433004,0.0003622045734025222
mygig,17,0.0003297065611605671,0.0003297065611605671
trail,39,0.0007563856403095362,0.0003295788330888861
cj,14,0.0002715230503675258,0.00031933588616938263
tj,11,0.0002133395395744846,0.00031512836837757776
skyslider,11,0.0002133395395744846,0.00031512836837757776
cherokees,20,0.00038789007195360833,0.0003018371445021018
cvt,75,0.0014545877698260313,0.0002561401917956613
hemi,73,0.0014157987626306704,0.00024930978668111036
gc,26,0.0005042570935396909,0.00020066407217612107
sunrider,7,0.0001357615251837629,0.0002005362344220949
rallye,7,0.0001357615251837629,0.0002005362344220949
quadra,6,0.00011636702158608251,0.00017188820093322422
uconnect,10,0.00019394503597680416,0.00016971378821041097
lifetime,47,0.0009115416690909796,0.00016051452019194776
limiteds,5,9.697251798840208e-05,0.0001432401674443535
regulators,5,9.697251798840208e-05,0.0001432401674443535
cherokee,159,0.0030837260720311863,0.00014110356663267484
hardtop,18,0.00034910106475824753,0.00013892128073731457
rugged,23,0.0004460735827466496,0.00013428152868004048
offroad,28,0.0005430461007350516,0.0001339544487802579
leaks,39,0.0007563856403095362,0.00011716561818901852
trails,15,0.00029091755396520625,0.00011576773394776214
liberties,4,7.757801439072167e-05,0.00011459213395548282
yj,4,7.757801439072167e-05,0.00011459213395548282
mitigation,4,7.757801439072167e-05,0.00011459213395548282
rescue,7,0.0001357615251837629,0.00010564300057573563
pat,6,0.00011636702158608251,9.055114335063055e-05
hummer,14,0.0002715230503675258,8.98722884850942e-05
mud,26,0.0005042570935396909,8.87952664891626e-05
jamboree,3,5.8183510793041255e-05,8.594410046661211e-05
grande,3,5.8183510793041255e-05,8.594410046661211e-05
softtop,3,5.8183510793041255e-05,8.594410046661211e-05
patriots,3,5.8183510793041255e-05,8.594410046661211e-05
lubes,3,5.8183510793041255e-05,8.594410046661211e-05
resistant,7,0.0001357615251837629,8.580443557995071e-05
roader,5,9.697251798840208e-05,8.485689410520548e-05
stain,12,0.00023273404317216502,7.703339013008074e-05
wave,9,0.00017455053237912376,7.605665378974296e-05
stadium,5,9.697251798840208e-05,7.545928612552545e-05
regulator,6,0.00011636702158608251,7.35466590685292e-05
essentials,6,0.00011636702158608251,7.35466590685292e-05
ltd,9,0.00017455053237912376,6.946064036865729e-05
evic,3,5.8183510793041255e-05,6.842911846486771e-05
bosch,3,5.8183510793041255e-05,6.842911846486771e-05
rubi,3,5.8183510793041255e-05,6.842911846486771e-05
disconnect,4,7.757801439072167e-05,6.78855152841644e-05
autostick,5,9.697251798840208e-05,6.778088131882808e-05
semis,5,9.697251798840208e-05,6.778088131882808e-05
trac,8,0.00015515602878144334,6.76059144797715e-05
sirius,34,0.0006594131223211342,6.390373426182421e-05
powertrain,21,0.00040728457555128876,6.308917902485613e-05
srt,5,9.697251798840208e-05,6.128888255710765e-05
outdoors,4,7.757801439072167e-05,6.036742890042037e-05
removable,7,0.0001357615251837629,5.9155175169800064e-05
siruis,3,5.8183510793041255e-05,5.8183510793041255e-05
snick,3,5.8183510793041255e-05,5.8183510793041255e-05
sirus,3,5.8183510793041255e-05,5.8183510793041255e-05
accumulation,3,5.8183510793041255e-05,5.8183510793041255e-05
swaybar,3,5.8183510793041255e-05,5.8183510793041255e-05
differentials,3,5.8183510793041255e-05,5.8183510793041255e-05
onroad,2,3.8789007195360834e-05,5.729606697774141e-05
foo,2,3.8789007195360834e-05,5.729606697774141e-05
clerance,2,3.8789007195360834e-05,5.729606697774141e-05
libertys,2,3.8789007195360834e-05,5.729606697774141e-05
boulders,2,3.8789007195360834e-05,5.729606697774141e-05
reoccurred,2,3.8789007195360834e-05,5.729606697774141e-05
lockers,2,3.8789007195360834e-05,5.729606697774141e-05
spotlights,2,3.8789007195360834e-05,5.729606697774141e-05
cb,2,3.8789007195360834e-05,5.729606697774141e-05
orv,2,3.8789007195360834e-05,5.729606697774141e-05
pucker,2,3.8789007195360834e-05,5.729606697774141e-05
rubicons,2,3.8789007195360834e-05,5.729606697774141e-05
cutesy,2,3.8789007195360834e-05,5.729606697774141e-05
selec,2,3.8789007195360834e-05,5.729606697774141e-05
rivers,2,3.8789007195360834e-05,5.729606697774141e-05
universally,2,3.8789007195360834e-05,5.729606697774141e-05
leaking,25,0.0004848625899420104,5.594995185414827e-05
rocky,13,0.00025212854676984545,5.593440284347925e-05
ii,13,0.00025212854676984545,5.593440284347925e-05
wobble,6,0.00011636702158608251,5.552117934714173e-05
crv,16,0.0003103120575628867,5.4643240916407746e-05
stalls,7,0.0001357615251837629,5.4024942508955664e-05
roading,11,0.0002133395395744846,5.2624962020815605e-05
daimler,3,5.8183510793041255e-05,5.09141364631233e-05
xj,3,5.8183510793041255e-05,5.09141364631233e-05
aztek,3,5.8183510793041255e-05,5.09141364631233e-05
hinge,5,9.697251798840208e-05,5.070486853245065e-05
gig,5,9.697251798840208e-05,5.070486853245065e-05
fj,6,0.00011636702158608251,5.070443585982863e-05
