term_str,n,tf,tfidf
sx,12,0.0004121445253468883,0.0004121445253468883
ex,56,0.0019233411182854787,0.00025907130575139256
esc,15,0.0005151806566836103,0.0002458036413241838
kias,7,0.00024041763978568484,0.00021038016361251205
lx,21,0.0007212529193570545,0.00016000905831650927
sephia,3,0.00010303613133672208,0.00015219685960155883
sportages,3,0.00010303613133672208,0.00015219685960155883
rondos,3,0.00010303613133672208,0.00015219685960155883
slogan,4,0.00013738150844896276,0.00012021723635000687
optimas,2,6.869075422448138e-05,0.00010146457306770588
feedbacks,2,6.869075422448138e-05,0.00010146457306770588
sender,2,6.869075422448138e-05,0.00010146457306770588
exxon,2,6.869075422448138e-05,0.00010146457306770588
sorrento,2,6.869075422448138e-05,0.00010146457306770588
ecs,2,6.869075422448138e-05,0.00010146457306770588
accoutrements,2,6.869075422448138e-05,0.00010146457306770588
grandbabies,2,6.869075422448138e-05,0.00010146457306770588
revervse,2,6.869075422448138e-05,0.00010146457306770588
bcm,2,6.869075422448138e-05,0.00010146457306770588
korean,5,0.00017172688556120347,9.857660182163052e-05
midnight,7,0.00024041763978568484,9.567179766122624e-05
van,56,0.0019233411182854787,8.800726306490616e-05
cr,16,0.000549526033795851,8.512265969816907e-05
vans,14,0.0004808352795713697,8.467088977811297e-05
jade,2,6.869075422448138e-05,8.078659562135467e-05
jingle,2,6.869075422448138e-05,8.078659562135467e-05
vomit,2,6.869075422448138e-05,8.078659562135467e-05
prism,2,6.869075422448138e-05,8.078659562135467e-05
distinction,2,6.869075422448138e-05,8.078659562135467e-05
xx,2,6.869075422448138e-05,8.078659562135467e-05
possibility,3,0.00010303613133672208,7.201916516719524e-05
stains,4,0.00013738150844896276,7.183387076251374e-05
xxx,2,6.869075422448138e-05,6.869075422448138e-05
pw,2,6.869075422448138e-05,6.869075422448138e-05
ping,2,6.869075422448138e-05,6.869075422448138e-05
doable,2,6.869075422448138e-05,6.869075422448138e-05
radiant,2,6.869075422448138e-05,6.869075422448138e-05
siena,2,6.869075422448138e-05,6.869075422448138e-05
roadside,10,0.00034345377112240694,6.81301187549229e-05
minivans,11,0.0003777991482346476,6.652712768280305e-05
drving,3,0.00010303613133672208,6.512122695824346e-05
carmax,3,0.00010303613133672208,6.512122695824346e-05
teh,3,0.00010303613133672208,6.512122695824346e-05
chain,6,0.00020607226267344415,6.203393233905369e-05
fe,9,0.00030910839401016623,6.131710687943061e-05
rebate,10,0.00034345377112240694,6.0479206984366416e-05
effecient,2,6.869075422448138e-05,6.0108618175003436e-05
arrangements,2,6.869075422448138e-05,6.0108618175003436e-05
recreational,2,6.869075422448138e-05,6.0108618175003436e-05
deleted,2,6.869075422448138e-05,6.0108618175003436e-05
stitched,3,0.00010303613133672208,5.914596109297831e-05
monte,3,0.00010303613133672208,5.914596109297831e-05
clincher,3,0.00010303613133672208,5.914596109297831e-05
carlo,3,0.00010303613133672208,5.914596109297831e-05
bronze,3,0.00010303613133672208,5.387540307188532e-05
airflow,3,0.00010303613133672208,5.387540307188532e-05
jd,3,0.00010303613133672208,5.387540307188532e-05
balls,2,6.869075422448138e-05,5.3451796289575734e-05
disengaged,2,6.869075422448138e-05,5.3451796289575734e-05
hw,2,6.869075422448138e-05,5.3451796289575734e-05
twig,1,3.434537711224069e-05,5.073228653385294e-05
strokes,1,3.434537711224069e-05,5.073228653385294e-05
speedodmeter,1,3.434537711224069e-05,5.073228653385294e-05
sportaqe,1,3.434537711224069e-05,5.073228653385294e-05
sportmatic,1,3.434537711224069e-05,5.073228653385294e-05
chec,1,3.434537711224069e-05,5.073228653385294e-05
ghastly,1,3.434537711224069e-05,5.073228653385294e-05
ao,1,3.434537711224069e-05,5.073228653385294e-05
roadies,1,3.434537711224069e-05,5.073228653385294e-05
sprite,1,3.434537711224069e-05,5.073228653385294e-05
rios,1,3.434537711224069e-05,5.073228653385294e-05
celtius,1,3.434537711224069e-05,5.073228653385294e-05
goodly,1,3.434537711224069e-05,5.073228653385294e-05
tumbled,1,3.434537711224069e-05,5.073228653385294e-05
andout,1,3.434537711224069e-05,5.073228653385294e-05
dectedt,1,3.434537711224069e-05,5.073228653385294e-05
trafficky,1,3.434537711224069e-05,5.073228653385294e-05
relevation,1,3.434537711224069e-05,5.073228653385294e-05
jutted,1,3.434537711224069e-05,5.073228653385294e-05
bcuz,1,3.434537711224069e-05,5.073228653385294e-05
jabbing,1,3.434537711224069e-05,5.073228653385294e-05
definetily,1,3.434537711224069e-05,5.073228653385294e-05
transferring,1,3.434537711224069e-05,5.073228653385294e-05
casinos,1,3.434537711224069e-05,5.073228653385294e-05
delership,1,3.434537711224069e-05,5.073228653385294e-05
treaded,1,3.434537711224069e-05,5.073228653385294e-05
reflector,1,3.434537711224069e-05,5.073228653385294e-05
imburse,1,3.434537711224069e-05,5.073228653385294e-05
isulation,1,3.434537711224069e-05,5.073228653385294e-05
hassels,1,3.434537711224069e-05,5.073228653385294e-05
discretion,1,3.434537711224069e-05,5.073228653385294e-05
icers,1,3.434537711224069e-05,5.073228653385294e-05
brakeing,1,3.434537711224069e-05,5.073228653385294e-05
easels,1,3.434537711224069e-05,5.073228653385294e-05
asthma,1,3.434537711224069e-05,5.073228653385294e-05
atenna,1,3.434537711224069e-05,5.073228653385294e-05
significanly,1,3.434537711224069e-05,5.073228653385294e-05
improvise,1,3.434537711224069e-05,5.073228653385294e-05
bif,1,3.434537711224069e-05,5.073228653385294e-05
somtimes,1,3.434537711224069e-05,5.073228653385294e-05
