term_str,n,tf,tfidf
levinson,39,0.001065166329819195,0.0012527328099407762
es,168,0.004588408805374993,0.0007107535171684288
gs,122,0.00333205877533184,0.0004488235651797032
gx,31,0.0008466706724203856,0.00036891860098335497
ls,107,0.002922379417709073,0.00033722335175401333
rx,156,0.00426066531927678,0.0002647914309504488
starfire,5,0.00013655978587425574,0.00020171536225482907
lexuses,7,0.00019118370022395804,0.00016729745025787678
matador,4,0.0001092478286994046,0.00016137228980386327
voice,43,0.0011744141585185994,0.00015819191231743638
recognition,18,0.0004916152291473207,0.0001479909302985651
ventilated,9,0.00024580761457366037,0.00012852757708862837
yadda,3,8.193587152455345e-05,0.00012102921735289745
shinjouku,3,8.193587152455345e-05,0.00012102921735289745
vented,6,0.0001638717430491069,0.00011454143294958521
vdim,3,8.193587152455345e-05,9.636406230313661e-05
ml,17,0.00046430327197246956,9.210275069744276e-05
cashmere,5,0.00013655978587425574,8.630895486772895e-05
dunlops,4,0.0001092478286994046,8.501133450413979e-05
celica,7,0.00019118370022395804,8.330420022204789e-05
cooled,10,0.0002731195717485115,8.221718349920281e-05
commands,11,0.00030043152892336267,8.201818956413159e-05
swb,3,8.193587152455345e-05,8.193587152455345e-05
speech,3,8.193587152455345e-05,8.193587152455345e-05
regeneration,3,8.193587152455345e-05,8.193587152455345e-05
unmatchable,2,5.46239143497023e-05,8.068614490193163e-05
flakey,2,5.46239143497023e-05,8.068614490193163e-05
emanates,2,5.46239143497023e-05,8.068614490193163e-05
eveywhere,2,5.46239143497023e-05,8.068614490193163e-05
eldo,2,5.46239143497023e-05,8.068614490193163e-05
observataions,2,5.46239143497023e-05,8.068614490193163e-05
mark,37,0.0010105424154694925,8.001600764085099e-05
motion,15,0.00040967935762276726,7.214095389291578e-05
sc,9,0.00024580761457366037,6.710579146156221e-05
cu,6,0.0001638717430491069,6.521112285006352e-05
swiveling,2,5.46239143497023e-05,6.424270820209107e-05
inaccessible,2,5.46239143497023e-05,6.424270820209107e-05
maple,2,5.46239143497023e-05,6.424270820209107e-05
renders,2,5.46239143497023e-05,6.424270820209107e-05
distinguishing,2,5.46239143497023e-05,6.424270820209107e-05
marvels,2,5.46239143497023e-05,6.424270820209107e-05
rxh,2,5.46239143497023e-05,6.424270820209107e-05
bamboo,2,5.46239143497023e-05,6.424270820209107e-05
lump,2,5.46239143497023e-05,6.424270820209107e-05
iss,2,5.46239143497023e-05,6.424270820209107e-05
pp,2,5.46239143497023e-05,6.424270820209107e-05
ballgame,2,5.46239143497023e-05,6.424270820209107e-05
tungsten,2,5.46239143497023e-05,6.424270820209107e-05
guidance,3,8.193587152455345e-05,6.375850087810484e-05
pampered,3,8.193587152455345e-05,6.375850087810484e-05
mica,3,8.193587152455345e-05,6.375850087810484e-05
recliner,3,8.193587152455345e-05,6.375850087810484e-05
destinations,4,0.0001092478286994046,6.271166960481989e-05
text,4,0.0001092478286994046,6.271166960481989e-05
ultra,17,0.00046430327197246956,6.254098859061438e-05
shifters,9,0.00024580761457366037,6.06339378399655e-05
michelin,9,0.00024580761457366037,6.06339378399655e-05
camera,47,0.0012836619872180041,5.873715126322532e-05
mbs,3,8.193587152455345e-05,5.727071647479261e-05
exhibits,3,8.193587152455345e-05,5.727071647479261e-05
smokey,3,8.193587152455345e-05,5.727071647479261e-05
lockout,3,8.193587152455345e-05,5.727071647479261e-05
roofline,4,0.0001092478286994046,5.712336759494593e-05
mb,33,0.000901294586770088,5.6013571931825705e-05
awd,68,0.0018572130878898782,5.564809061195548e-05
advises,2,5.46239143497023e-05,5.46239143497023e-05
splendid,2,5.46239143497023e-05,5.46239143497023e-05
regen,2,5.46239143497023e-05,5.46239143497023e-05
microphone,2,5.46239143497023e-05,5.46239143497023e-05
announce,2,5.46239143497023e-05,5.46239143497023e-05
poi,2,5.46239143497023e-05,5.46239143497023e-05
command,10,0.0002731195717485115,5.417808864555456e-05
insulated,4,0.0001092478286994046,5.212446110445867e-05
grabby,3,8.193587152455345e-05,5.178537292063737e-05
cassette,3,8.193587152455345e-05,5.178537292063737e-05
download,3,8.193587152455345e-05,5.178537292063737e-05
hid,12,0.0003277434860982138,5.076810836917349e-05
maps,5,0.00013655978587425574,4.959549658775681e-05
touches,9,0.00024580761457366037,4.8760279780999116e-05
drown,2,5.46239143497023e-05,4.7799271502250506e-05
rxs,2,5.46239143497023e-05,4.7799271502250506e-05
mandated,2,5.46239143497023e-05,4.7799271502250506e-05
rockets,2,5.46239143497023e-05,4.7799271502250506e-05
interfaces,2,5.46239143497023e-05,4.7799271502250506e-05
intolerable,2,5.46239143497023e-05,4.7799271502250506e-05
sumptuous,2,5.46239143497023e-05,4.7799271502250506e-05
isf,2,5.46239143497023e-05,4.7799271502250506e-05
cdi,2,5.46239143497023e-05,4.7799271502250506e-05
luxuriously,2,5.46239143497023e-05,4.7799271502250506e-05
modifying,2,5.46239143497023e-05,4.7799271502250506e-05
diehard,2,5.46239143497023e-05,4.7799271502250506e-05
everyway,2,5.46239143497023e-05,4.7799271502250506e-05
sv,2,5.46239143497023e-05,4.7799271502250506e-05
annoyance,4,0.0001092478286994046,4.760240012688451e-05
sufficiently,3,8.193587152455345e-05,4.7033752203614915e-05
cl,3,8.193587152455345e-05,4.7033752203614915e-05
whisper,3,8.193587152455345e-05,4.7033752203614915e-05
granite,3,8.193587152455345e-05,4.7033752203614915e-05
names,4,0.0001092478286994046,4.347408190004234e-05
eliminate,4,0.0001092478286994046,4.347408190004234e-05
