term_str,n,tf,tfidf
cx,435,0.005550593339287993,0.0011010581777283726
zoom,229,0.002922036493556208,0.00057963752344781
prht,19,0.00024243970907234912,0.00035811284725881823
bose,136,0.0017353579175704988,0.00030558136061723424
mica,28,0.0003572795712645145,0.00027801754511601405
mx,40,0.0005103993875207349,0.0002668769913386947
mazdaspeed,26,0.00033175960188847774,0.00023189001037050519
copper,24,0.000306239632512441,0.00021405231726508172
protege,34,0.0004338394793926247,0.00020699403675473424
touring,193,0.0024626770447875464,0.00019499783701916028
gt,127,0.0016205180553783335,0.0001869971184785356
miata,71,0.0009059589128493046,0.00017971294395106773
rotary,7,8.931989281612862e-05,0.00010504834520083921
itouring,5,6.379992344009187e-05,9.42402229628469e-05
mazdas,20,0.00025519969376036747,9.268288947628572e-05
dsc,7,8.931989281612862e-05,7.816037825369276e-05
mpv,9,0.00011483986219216536,7.258145887901812e-05
xenon,22,0.00028071966313640426,6.92457743206654e-05
hatchback,46,0.0005869592956488452,6.773123976387903e-05
cuv,24,0.000306239632512441,6.074803739191022e-05
wrx,27,0.0003445195865764961,6.066688776959797e-05
miatas,4,5.1039938752073496e-05,6.002762582905098e-05
galaxy,6,7.655990812811025e-05,5.9575188239145874e-05
roadster,21,0.00026795967844838586,5.944651961137533e-05
turbo,148,0.0018884777338267194,5.658488018197772e-05
smiley,3,3.8279954064055125e-05,5.654413377770815e-05
bsm,3,3.8279954064055125e-05,5.654413377770815e-05
cel,5,6.379992344009187e-05,5.582884160978053e-05
si,17,0.00021691973969631235,5.350809833869598e-05
cuvs,10,0.00012759984688018373,5.077708417405099e-05
madza,5,6.379992344009187e-05,4.964599019928822e-05
sti,9,0.00011483986219216536,4.569937575664589e-05
glc,3,3.8279954064055125e-05,4.502071937178824e-05
roadsters,4,5.1039938752073496e-05,4.466307328782443e-05
sliding,30,0.0003827995406405512,4.417254767209502e-05
pants,7,8.931989281612862e-05,4.261641933185705e-05
monitoring,12,0.0001531198162562205,4.180190461611397e-05
cr,21,0.00026795967844838586,4.150747938880448e-05
moonroof,40,0.0005103993875207349,4.041405948583632e-05
phantom,5,6.379992344009187e-05,4.032303271056562e-05
grippy,5,6.379992344009187e-05,4.032303271056562e-05
northwest,6,7.655990812811025e-05,4.003154870080421e-05
hb,4,5.1039938752073496e-05,3.971679215943058e-05
millenia,3,3.8279954064055125e-05,3.8279954064055125e-05
marble,3,3.8279954064055125e-05,3.8279954064055125e-05
midsizes,3,3.8279954064055125e-05,3.8279954064055125e-05
unscheduled,3,3.8279954064055125e-05,3.8279954064055125e-05
haves,3,3.8279954064055125e-05,3.8279954064055125e-05
progressive,3,3.8279954064055125e-05,3.8279954064055125e-05
crv,17,0.00021691973969631235,3.819767007715428e-05
minivans,17,0.00021691973969631235,3.819767007715428e-05
tetons,2,2.5519969376036748e-05,3.769608918513876e-05
territories,2,2.5519969376036748e-05,3.769608918513876e-05
curvaceous,2,2.5519969376036748e-05,3.769608918513876e-05
sportscars,2,2.5519969376036748e-05,3.769608918513876e-05
phrt,2,2.5519969376036748e-05,3.769608918513876e-05
judged,2,2.5519969376036748e-05,3.769608918513876e-05
delta,2,2.5519969376036748e-05,3.769608918513876e-05
outshined,2,2.5519969376036748e-05,3.769608918513876e-05
fujita,2,2.5519969376036748e-05,3.769608918513876e-05
sgt,2,2.5519969376036748e-05,3.769608918513876e-05
fraying,2,2.5519969376036748e-05,3.769608918513876e-05
multiples,2,2.5519969376036748e-05,3.769608918513876e-05
electroluminescent,2,2.5519969376036748e-05,3.769608918513876e-05
wagonette,2,2.5519969376036748e-05,3.769608918513876e-05
tve,2,2.5519969376036748e-05,3.769608918513876e-05
yoa,2,2.5519969376036748e-05,3.769608918513876e-05
praire,2,2.5519969376036748e-05,3.769608918513876e-05
premacy,2,2.5519969376036748e-05,3.769608918513876e-05
sve,2,2.5519969376036748e-05,3.769608918513876e-05
partiii,2,2.5519969376036748e-05,3.769608918513876e-05
toyo,5,6.379992344009187e-05,3.662315093324734e-05
wa,5,6.379992344009187e-05,3.662315093324734e-05
aurora,6,7.655990812811025e-05,3.652835942730605e-05
hardtop,7,8.931989281612862e-05,3.554395892183569e-05
alloys,11,0.00014035983156820213,3.46228871603327e-05
clutch,34,0.0004338394793926247,3.4351950562960874e-05
auxiliary,8,0.00010207987750414699,3.37877472544519e-05
accolades,3,3.8279954064055125e-05,3.349730496586832e-05
umbrella,3,3.8279954064055125e-05,3.349730496586832e-05
cai,3,3.8279954064055125e-05,3.349730496586832e-05
zooms,3,3.8279954064055125e-05,3.349730496586832e-05
unchanged,3,3.8279954064055125e-05,3.349730496586832e-05
sharing,3,3.8279954064055125e-05,3.349730496586832e-05
quibbles,5,6.379992344009187e-05,3.335962391733684e-05
integra,6,7.655990812811025e-05,3.335933925441654e-05
vws,6,7.655990812811025e-05,3.335933925441654e-05
mitsu,4,5.1039938752073496e-05,3.22584261684525e-05
scooter,4,5.1039938752073496e-05,3.22584261684525e-05
yellowstone,4,5.1039938752073496e-05,3.22584261684525e-05
events,4,5.1039938752073496e-05,3.22584261684525e-05
sand,9,0.00011483986219216536,3.135142846208548e-05
van,53,0.0006762791884649739,3.094483858256709e-05
yield,5,6.379992344009187e-05,3.0440299522755034e-05
cubbies,5,6.379992344009187e-05,3.0440299522755034e-05
compressor,12,0.0001531198162562205,3.037401869595511e-05
awd,79,0.0010080387903534515,3.0204091448488106e-05
instrumental,2,2.5519969376036748e-05,3.001381291452549e-05
retailing,2,2.5519969376036748e-05,3.001381291452549e-05
shark,2,2.5519969376036748e-05,3.001381291452549e-05
