term_str,n,tf,tfidf
amg,152,0.002249685488048546,0.0008170360566380448
multimedia,44,0.0006512247465403685,0.0006512247465403685
cdi,50,0.0007400281210686006,0.0006475699425676756
bluetec,26,0.0003848146229556723,0.0005684178586947565
comand,24,0.0003552134981129283,0.000524693408025929
parktronic,20,0.00029601124842744024,0.0004372445066882742
ml,126,0.0018648708650928734,0.0003699300580865984
abc,16,0.0002368089987419522,0.00034979560535061937
tex,20,0.00029601124842744024,0.00034813624185767227
gl,104,0.0015392584918226893,0.00034148257174722215
slk,40,0.0005920224968548805,0.00033983942439293647
mb,364,0.005387404721379412,0.0003348159262425719
hk,16,0.0002368089987419522,0.0002785089934861378
kardon,24,0.0003552134981129283,0.0002482835803162059
diesel,202,0.0029897136091171467,0.0002367292488954372
harmon,20,0.00029601124842744024,0.00023034152309143598
cls,22,0.00032561237327018426,0.0002275932819565221
matic,24,0.0003552134981129283,0.00022450317698408546
airmatic,10,0.00014800562421372012,0.0002186222533441371
clk,38,0.0005624213720121365,0.0002042590141595112
sl,38,0.0005624213720121365,0.00018615766037999155
teleaid,8,0.0001184044993709761,0.00017489780267530969
command,50,0.0007400281210686006,0.0001467976420978565
blutec,6,8.880337452823207e-05,0.00013117335200648226
distronic,6,8.880337452823207e-05,0.00013117335200648226
integration,28,0.00041441574779841635,0.0001247515707628428
cpo,16,0.0002368089987419522,0.000123822392133285
maybach,7,0.00010360393694960409,0.0001218476846501853
iridium,8,0.0001184044993709761,0.0001184044993709761
bentley,12,0.00017760674905646415,0.00011225158849204273
palladium,6,8.880337452823207e-05,0.00010444087255730168
scarf,6,8.880337452823207e-05,0.00010444087255730168
intergration,6,8.880337452823207e-05,0.00010444087255730168
alabaster,6,8.880337452823207e-05,0.00010444087255730168
mecedes,6,8.880337452823207e-05,0.00010444087255730168
mbs,10,0.00014800562421372012,0.00010345149179841912
panorama,10,0.00014800562421372012,0.00010345149179841912
idrive,13,0.00019240731147783616,0.00010060569360829408
r,68,0.0010064382446532969,9.753394338115647e-05
voice,46,0.0006808258713831125,9.170627394779818e-05
tec,6,8.880337452823207e-05,8.880337452823207e-05
stiffens,6,8.880337452823207e-05,8.880337452823207e-05
advancements,6,8.880337452823207e-05,8.880337452823207e-05
nsx,6,8.880337452823207e-05,8.880337452823207e-05
burl,6,8.880337452823207e-05,8.880337452823207e-05
bla,4,5.920224968548805e-05,8.744890133765484e-05
arnage,4,5.920224968548805e-05,8.744890133765484e-05
irridium,4,5.920224968548805e-05,8.744890133765484e-05
subsidies,4,5.920224968548805e-05,8.744890133765484e-05
stuttgart,4,5.920224968548805e-05,8.744890133765484e-05
premimum,4,5.920224968548805e-05,8.744890133765484e-05
jakarta,4,5.920224968548805e-05,8.744890133765484e-05
designo,4,5.920224968548805e-05,8.744890133765484e-05
lexuss,4,5.920224968548805e-05,8.744890133765484e-05
twistees,4,5.920224968548805e-05,8.744890133765484e-05
alphard,4,5.920224968548805e-05,8.744890133765484e-05
umpteenth,4,5.920224968548805e-05,8.744890133765484e-05
eclass,4,5.920224968548805e-05,8.744890133765484e-05
chauffeured,4,5.920224968548805e-05,8.744890133765484e-05
birdseye,4,5.920224968548805e-05,8.744890133765484e-05
srs,6,8.880337452823207e-05,7.770839310812108e-05
harman,6,8.880337452823207e-05,7.770839310812108e-05
xj,6,8.880337452823207e-05,7.770839310812108e-05
panoramic,29,0.00042921631021978834,7.55812404738364e-05
continentals,8,0.0001184044993709761,7.483439232802849e-05
sulfur,4,5.920224968548805e-05,6.962724837153446e-05
tailor,4,5.920224968548805e-05,6.962724837153446e-05
hee,4,5.920224968548805e-05,6.962724837153446e-05
bluetech,4,5.920224968548805e-05,6.962724837153446e-05
kompressor,4,5.920224968548805e-05,6.962724837153446e-05
frivolous,4,5.920224968548805e-05,6.962724837153446e-05
grilles,4,5.920224968548805e-05,6.962724837153446e-05
imposible,4,5.920224968548805e-05,6.962724837153446e-05
starbucks,6,8.880337452823207e-05,6.910245692743079e-05
autobahn,12,0.00017760674905646415,6.450284657668774e-05
rover,32,0.0004736179974839044,6.379566883325092e-05
merc,14,0.00020720787389920818,6.23757853814214e-05
retaining,6,8.880337452823207e-05,6.207089507905148e-05
walnut,6,8.880337452823207e-05,6.207089507905148e-05
contour,8,0.0001184044993709761,6.19111960666425e-05
diesels,8,0.0001184044993709761,6.19111960666425e-05
piloting,4,5.920224968548805e-05,5.920224968548805e-05
jags,4,5.920224968548805e-05,5.920224968548805e-05
pacakge,4,5.920224968548805e-05,5.920224968548805e-05
restrained,4,5.920224968548805e-05,5.920224968548805e-05
ro,4,5.920224968548805e-05,5.920224968548805e-05
sls,4,5.920224968548805e-05,5.920224968548805e-05
staggered,4,5.920224968548805e-05,5.920224968548805e-05
conti,4,5.920224968548805e-05,5.920224968548805e-05
nirvana,4,5.920224968548805e-05,5.920224968548805e-05
pizzazz,4,5.920224968548805e-05,5.920224968548805e-05
accomodates,4,5.920224968548805e-05,5.920224968548805e-05
hotels,4,5.920224968548805e-05,5.920224968548805e-05
facelift,4,5.920224968548805e-05,5.920224968548805e-05
usaa,4,5.920224968548805e-05,5.920224968548805e-05
vantage,4,5.920224968548805e-05,5.920224968548805e-05
hardtop,10,0.00014800562421372012,5.889735938311812e-05
mbz,10,0.00014800562421372012,5.889735938311812e-05
blk,10,0.00014800562421372012,5.889735938311812e-05
sacrifices,6,8.880337452823207e-05,5.6125794246021364e-05
