term_str,n,tf,tfidf
gts,62,0.0023469735397660596,0.0009339546707675486
xls,33,0.0012491955937464511,0.0008731502495774926
spyder,41,0.0015520308892001363,0.000811523963981294
rockford,24,0.0009085058863610554,0.0007949983087179015
fosgate,19,0.0007192338267025021,0.0007192338267025021
mitsu,29,0.0010977779460196087,0.0006938211464760102
ralliart,11,0.000416398531248817,0.000416398531248817
mivec,6,0.00022712647159026385,0.00033549333869546026
gsr,6,0.00022712647159026385,0.00033549333869546026
shifters,34,0.0012870500056781618,0.00031747962802767946
evo,22,0.000832797062497634,0.00030245349029345357
cr,48,0.0018170117727221108,0.0002814586849118247
sportronic,6,0.00022712647159026385,0.00026712145793746783
server,7,0.0002649808835219745,0.0002649808835219745
paddle,39,0.001476322065336715,0.00025996741125682585
cvt,37,0.0014006132414732936,0.00024663574914109116
montero,9,0.0003406897073853958,0.0002381318862484071
gallant,5,0.0001892720596585532,0.0001892720596585532
es,29,0.0010977779460196087,0.00017004795546756078
sypder,3,0.00011356323579513192,0.00016774666934773013
sandblasting,3,0.00011356323579513192,0.00016774666934773013
watt,13,0.0004921073551122383,0.00014813907497565035
chipping,9,0.0003406897073853958,0.00013557406511141836
pearlescent,3,0.00011356323579513192,0.00013356072896873392
fe,17,0.0006435250028390809,0.00012765454495348335
se,18,0.0006813794147707916,0.00011998495904161194
sunset,6,0.00022712647159026385,0.00011875960448506741
gt,27,0.0010220691221561873,0.00011794005015542562
lander,2,7.570882386342128e-05,0.00011183111289848675
lancers,2,7.570882386342128e-05,0.00011183111289848675
outie,2,7.570882386342128e-05,0.00011183111289848675
spyders,2,7.570882386342128e-05,0.00011183111289848675
dakar,2,7.570882386342128e-05,0.00011183111289848675
kilom,2,7.570882386342128e-05,0.00011183111289848675
tibron,2,7.570882386342128e-05,0.00011183111289848675
neglected,2,7.570882386342128e-05,0.00011183111289848675
outty,2,7.570882386342128e-05,0.00011183111289848675
eclipses,2,7.570882386342128e-05,0.00011183111289848675
funner,3,0.00011356323579513192,9.937478858973769e-05
rav,11,0.000416398531248817,9.237749349963737e-05
sante,5,0.0001892720596585532,9.03057225876637e-05
cx,12,0.0004542529431805277,9.01090905554e-05
diamante,2,7.570882386342128e-05,8.904048597915594e-05
sst,2,7.570882386342128e-05,8.904048597915594e-05
geometry,2,7.570882386342128e-05,8.904048597915594e-05
dunlops,3,0.00011356323579513192,8.836937393159446e-05
graphite,4,0.00015141764772684256,8.691846428098858e-05
subwoofer,8,0.0003028352954536851,8.267442088465386e-05
crv,12,0.0004542529431805277,7.998997269440795e-05
notchy,4,0.00015141764772684256,7.91730696567116e-05
mits,2,7.570882386342128e-05,7.570882386342128e-05
regarded,2,7.570882386342128e-05,7.570882386342128e-05
library,2,7.570882386342128e-05,7.570882386342128e-05
protectant,2,7.570882386342128e-05,7.570882386342128e-05
tucks,2,7.570882386342128e-05,7.570882386342128e-05
santafe,2,7.570882386342128e-05,7.570882386342128e-05
romp,2,7.570882386342128e-05,7.570882386342128e-05
outlanders,2,7.570882386342128e-05,7.570882386342128e-05
stratus,3,0.00011356323579513192,7.177460135958727e-05
tails,2,7.570882386342128e-05,6.624985905982512e-05
rearended,2,7.570882386342128e-05,6.624985905982512e-05
outruns,2,7.570882386342128e-05,6.624985905982512e-05
flaps,4,0.00015141764772684256,6.597699505037473e-05
si,7,0.0002649808835219745,6.536345282922813e-05
sound,116,0.004391111784078435,6.465146652541697e-05
santa,12,0.0004542529431805277,6.118722363513928e-05
chips,9,0.0003406897073853958,5.999247952080597e-05
rude,3,0.00011356323579513192,5.9379802242533704e-05
waxed,2,7.570882386342128e-05,5.891291595439631e-05
aqua,2,7.570882386342128e-05,5.891291595439631e-05
gb,2,7.570882386342128e-05,5.891291595439631e-05
oval,2,7.570882386342128e-05,5.891291595439631e-05
mil,2,7.570882386342128e-05,5.891291595439631e-05
ionized,1,3.785441193171064e-05,5.5915556449243375e-05
cotta,1,3.785441193171064e-05,5.5915556449243375e-05
llancer,1,3.785441193171064e-05,5.5915556449243375e-05
positioners,1,3.785441193171064e-05,5.5915556449243375e-05
paunch,1,3.785441193171064e-05,5.5915556449243375e-05
soltice,1,3.785441193171064e-05,5.5915556449243375e-05
priors,1,3.785441193171064e-05,5.5915556449243375e-05
joys,1,3.785441193171064e-05,5.5915556449243375e-05
inteior,1,3.785441193171064e-05,5.5915556449243375e-05
theatrics,1,3.785441193171064e-05,5.5915556449243375e-05
chariot,1,3.785441193171064e-05,5.5915556449243375e-05
ladyish,1,3.785441193171064e-05,5.5915556449243375e-05
bile,1,3.785441193171064e-05,5.5915556449243375e-05
strippo,1,3.785441193171064e-05,5.5915556449243375e-05
kelley,1,3.785441193171064e-05,5.5915556449243375e-05
kileen,1,3.785441193171064e-05,5.5915556449243375e-05
staten,1,3.785441193171064e-05,5.5915556449243375e-05
pounce,1,3.785441193171064e-05,5.5915556449243375e-05
praries,1,3.785441193171064e-05,5.5915556449243375e-05
learner,1,3.785441193171064e-05,5.5915556449243375e-05
kmph,1,3.785441193171064e-05,5.5915556449243375e-05
outtie,1,3.785441193171064e-05,5.5915556449243375e-05
slooooow,1,3.785441193171064e-05,5.5915556449243375e-05
outsells,1,3.785441193171064e-05,5.5915556449243375e-05
knick,1,3.785441193171064e-05,5.5915556449243375e-05
pio,1,3.785441193171064e-05,5.5915556449243375e-05
sunrooof,1,3.785441193171064e-05,5.5915556449243375e-05
