term_str,n,tf,tfidf
cvt,557,0.004457569064310637,0.0007849389488621151
sl,244,0.001952687345945773,0.0006463262704160469
nismo,36,0.0002881014116969173,0.0003388335520183467
se,200,0.0016005633983162072,0.00028184522400794075
le,88,0.0007042478952591312,0.00023310127785496776
sv,31,0.0002480873267390121,0.00021709160956770945
fosgate,27,0.000216076058772688,0.000216076058772688
rockford,27,0.000216076058772688,0.00018907978897832759
bose,134,0.0010723774768718589,0.00018883630008532031
bed,62,0.0004961746534780242,0.00016423044576145454
intelligent,46,0.0003681295816127277,0.00016040457600936423
ev,20,0.00016005633983162074,0.00012454804097180506
maximas,24,0.00019206760779794487,0.00012139118692123414
vdc,16,0.0001280450718652966,9.963843277744405e-05
nah,12,9.603380389897244e-05,9.603380389897244e-05
crew,36,0.0002881014116969173,9.535961366794135e-05
crv,64,0.0005121802874611864,9.019047168254105e-05
z,62,0.0004961746534780242,8.737201944246164e-05
utili,7,5.6019718941067256e-05,8.27479175312721e-05
datsun,10,8.002816991581037e-05,8.002816991581037e-05
nissans,39,0.00031210986267166043,7.698886808407881e-05
affairs,8,6.40225359326483e-05,7.529634489296593e-05
pf,9,7.202535292422933e-05,7.202535292422933e-05
intellikey,6,4.801690194948622e-05,7.092678645537609e-05
xe,7,5.6019718941067256e-05,6.588430178134519e-05
cab,77,0.0006162169083517398,5.971758860415141e-05
tiida,5,4.0014084957905186e-05,5.910565537948008e-05
krom,5,4.0014084957905186e-05,5.910565537948008e-05
pathfinders,8,6.40225359326483e-05,5.602364117876373e-05
bedliner,10,8.002816991581037e-05,5.593729027305763e-05
spec,28,0.00022407887576426902,5.5274059137287345e-05
sentras,7,5.6019718941067256e-05,4.9020686031418266e-05
sonar,7,5.6019718941067256e-05,4.9020686031418266e-05
fj,14,0.00011203943788213451,4.8818784002849985e-05
versas,4,3.201126796632415e-05,4.728452430358406e-05
utilitrack,4,3.201126796632415e-05,4.728452430358406e-05
gotham,4,3.201126796632415e-05,4.728452430358406e-05
frontiers,5,4.0014084957905186e-05,4.706021555810371e-05
jade,5,4.0014084957905186e-05,4.706021555810371e-05
terra,7,5.6019718941067256e-05,4.359181434013177e-05
sonoma,6,4.801690194948622e-05,4.2017730884072795e-05
gtr,6,4.801690194948622e-05,4.2017730884072795e-05
echo,7,5.6019718941067256e-05,3.9156103191140334e-05
splash,10,8.002816991581037e-05,3.818314084314979e-05
db,4,3.201126796632415e-05,3.7648172446482965e-05
disadvantages,4,3.201126796632415e-05,3.7648172446482965e-05
vq,4,3.201126796632415e-05,3.7648172446482965e-05
fumbling,6,4.801690194948622e-05,3.7364412291541514e-05
cayman,6,4.801690194948622e-05,3.7364412291541514e-05
intelli,3,2.400845097474311e-05,3.5463393227688044e-05
stanza,3,2.400845097474311e-05,3.5463393227688044e-05
ta,3,2.400845097474311e-05,3.5463393227688044e-05
clack,3,2.400845097474311e-05,3.5463393227688044e-05
kingcab,3,2.400845097474311e-05,3.5463393227688044e-05
