term_str,n,tf,tfidf
gxp,86,0.0019669731485293445,0.0012431726925727295
gt,189,0.004322766570605188,0.0004988188128331538
holden,10,0.00022871780796852843,0.0003378439354832035
prix,69,0.0015781528749828461,0.0003130544830957301
monsoon,21,0.0004803073967339097,0.0003035654249305502
onstar,27,0.0006175380815150268,0.0002690789849082569
gm,186,0.004254151228214629,0.00026438659382656477
gto,24,0.0005489227391244682,0.00021843831956746952
gtp,18,0.0004116920543433512,0.00021526502481693604
pontiacs,10,0.00022871780796852843,0.00015986688722748705
hardtop,15,0.00034307671195279267,0.00013652394972966847
bonneville,9,0.0002058460271716756,0.00013009946782737867
panther,4,9.148712318741138e-05,0.00010759720589686486
australia,6,0.00013723068478111705,0.00010678622895342988
stryker,3,6.861534239055853e-05,0.00010135318064496104
stabilitrak,5,0.00011435890398426421,0.00010007104700056037
lutz,3,6.861534239055853e-05,8.069790442264863e-05
cuda,3,6.861534239055853e-05,8.069790442264863e-05
rebadged,4,9.148712318741138e-05,8.00568376004483e-05
gp,4,9.148712318741138e-05,8.00568376004483e-05
aztek,4,9.148712318741138e-05,8.00568376004483e-05
dic,5,0.00011435890398426421,7.993344361374353e-05
roadster,14,0.0003202049311559398,7.103706359793672e-05
camaro,11,0.00025158958876538126,6.868427777094173e-05
daewoo,3,6.861534239055853e-05,6.861534239055853e-05
dollies,2,4.574356159370569e-05,6.75687870966407e-05
sunliner,2,4.574356159370569e-05,6.75687870966407e-05
blaupunkt,2,4.574356159370569e-05,6.75687870966407e-05
atari,2,4.574356159370569e-05,6.75687870966407e-05
maverick,2,4.574356159370569e-05,6.75687870966407e-05
stear,2,4.574356159370569e-05,6.75687870966407e-05
commador,2,4.574356159370569e-05,6.75687870966407e-05
reformed,2,4.574356159370569e-05,6.75687870966407e-05
wiht,2,4.574356159370569e-05,6.75687870966407e-05
striker,2,4.574356159370569e-05,6.75687870966407e-05
xm,47,0.0010749736974520836,6.68073651067126e-05
monte,5,0.00011435890398426421,6.564558663003967e-05
sunfire,5,0.00011435890398426421,6.564558663003967e-05
division,5,0.00011435890398426421,6.564558663003967e-05
carlo,5,0.00011435890398426421,6.564558663003967e-05
convertibles,9,0.0002058460271716756,6.196582866693725e-05
deactivation,3,6.861534239055853e-05,6.004262820033622e-05
vroom,4,9.148712318741138e-05,5.782198570105719e-05
stratus,4,9.148712318741138e-05,5.782198570105719e-05
miata,12,0.0002744613695622341,5.444425792969219e-05
importing,2,4.574356159370569e-05,5.379860294843243e-05
peaking,2,4.574356159370569e-05,5.379860294843243e-05
greased,2,4.574356159370569e-05,5.379860294843243e-05
greenville,2,4.574356159370569e-05,5.379860294843243e-05
aussie,2,4.574356159370569e-05,5.379860294843243e-05
scoops,2,4.574356159370569e-05,5.379860294843243e-05
xfe,2,4.574356159370569e-05,5.379860294843243e-05
molasses,2,4.574356159370569e-05,5.379860294843243e-05
victory,2,4.574356159370569e-05,5.379860294843243e-05
rotors,24,0.0005489227391244682,5.3196109788970175e-05
nevada,3,6.861534239055853e-05,4.796006616824611e-05
slate,4,9.148712318741138e-05,4.7836672181541345e-05
variance,2,4.574356159370569e-05,4.574356159370569e-05
indefinitely,2,4.574356159370569e-05,4.574356159370569e-05
bungee,2,4.574356159370569e-05,4.574356159370569e-05
ssei,2,4.574356159370569e-05,4.574356159370569e-05
np,2,4.574356159370569e-05,4.574356159370569e-05
guzzle,2,4.574356159370569e-05,4.574356159370569e-05
vibes,2,4.574356159370569e-05,4.574356159370569e-05
buzzer,2,4.574356159370569e-05,4.574356159370569e-05
tele,2,4.574356159370569e-05,4.574356159370569e-05
honks,2,4.574356159370569e-05,4.574356159370569e-05
clunkers,6,0.00013723068478111705,4.542242610696095e-05
rental,11,0.00025158958876538126,4.430272745099706e-05
rap,3,6.861534239055853e-05,4.3366489275792886e-05
convertible,62,0.0014180504094048762,4.2489361177473094e-05
firebird,5,0.00011435890398426421,4.15326268712348e-05
warped,6,0.00013723068478111705,4.131055244462484e-05
taupe,2,4.574356159370569e-05,4.002841880022415e-05
firing,2,4.574356159370569e-05,4.002841880022415e-05
motel,2,4.574356159370569e-05,4.002841880022415e-05
centers,2,4.574356159370569e-05,4.002841880022415e-05
permits,2,4.574356159370569e-05,4.002841880022415e-05
bravada,2,4.574356159370569e-05,4.002841880022415e-05
duffel,2,4.574356159370569e-05,4.002841880022415e-05
coupon,2,4.574356159370569e-05,4.002841880022415e-05
lieu,2,4.574356159370569e-05,4.002841880022415e-05
wakes,2,4.574356159370569e-05,4.002841880022415e-05
isf,2,4.574356159370569e-05,4.002841880022415e-05
coup,2,4.574356159370569e-05,4.002841880022415e-05
convertable,4,9.148712318741138e-05,3.9863553319741765e-05
fleet,4,9.148712318741138e-05,3.9863553319741765e-05
rumble,7,0.0001601024655779699,3.9492848757827165e-05
purr,3,6.861534239055853e-05,3.9387351978023795e-05
toned,3,6.861534239055853e-05,3.9387351978023795e-05
squeeks,3,6.861534239055853e-05,3.9387351978023795e-05
leaks,11,0.00025158958876538126,3.897172041176467e-05
rebates,14,0.0003202049311559398,3.694954169134472e-05
caps,4,9.148712318741138e-05,3.640638659457825e-05
smoke,8,0.00018297424637482275,3.629617195312813e-05
tractor,3,6.861534239055853e-05,3.5877504136156e-05
mash,3,6.861534239055853e-05,3.5877504136156e-05
mesh,3,6.861534239055853e-05,3.5877504136156e-05
sucking,2,4.574356159370569e-05,3.5595409651143296e-05
lubed,2,4.574356159370569e-05,3.5595409651143296e-05
