term_str,n,tf,tfidf
xr,166,0.003416692394772049,0.002658703459168156
xe,59,0.0012143665740454873,0.0014282059130242915
onstar,83,0.0017083461973860245,0.0007443752449027334
saturns,26,0.0005351445919522486,0.000416423433363687
opel,13,0.0002675722959761243,0.00023414215136548523
gm,157,0.0032314500360193475,0.00020082785550208038
vues,6,0.0001234949058351343,0.00018241695025868014
redline,31,0.0006380570134815272,0.00017419037632964633
auras,4,8.232993722342287e-05,0.00012161130017245343
stabilitrak,6,0.0001234949058351343,0.00010806560832253167
opera,4,8.232993722342287e-05,9.682751952707061e-05
belgium,4,8.232993722342287e-05,9.682751952707061e-05
bluestone,3,6.174745291756716e-05,9.120847512934007e-05
morrocan,3,6.174745291756716e-05,9.120847512934007e-05
mist,7,0.00014407739014099,9.106025528327341e-05
motorhome,5,0.00010291242152927858,9.005467360210972e-05
exchange,8,0.00016465987444684574,8.609714854878463e-05
ocean,8,0.00016465987444684574,8.609714854878463e-05
polar,4,8.232993722342287e-05,8.232993722342287e-05
moroccan,4,8.232993722342287e-05,8.232993722342287e-05
sunroofs,7,0.00014407739014099,7.533500498018655e-05
header,3,6.174745291756716e-05,7.262063964530296e-05
fasteners,3,6.174745291756716e-05,7.262063964530296e-05
onyx,4,8.232993722342287e-05,7.204373888168777e-05
roadsters,4,8.232993722342287e-05,7.204373888168777e-05
roadster,15,0.00030873726458783575,6.849297610878555e-05
shoppers,4,8.232993722342287e-05,6.40651435944134e-05
xm,50,0.0010291242152927857,6.395791576499375e-05
hybrids,10,0.00020582484305855717,6.195945161345707e-05
chairs,11,0.0002264073273644129,6.18094883750358e-05
mountians,3,6.174745291756716e-05,6.174745291756716e-05
crv,17,0.0003499022331995472,6.161472479050285e-05
greenline,2,4.1164968611711435e-05,6.080565008622672e-05
bronzed,2,4.1164968611711435e-05,6.080565008622672e-05
thoughtout,2,4.1164968611711435e-05,6.080565008622672e-05
outlooks,2,4.1164968611711435e-05,6.080565008622672e-05
arounds,2,4.1164968611711435e-05,6.080565008622672e-05
nee,2,4.1164968611711435e-05,6.080565008622672e-05
remount,2,4.1164968611711435e-05,6.080565008622672e-05
everyman,2,4.1164968611711435e-05,6.080565008622672e-05
underdoor,2,4.1164968611711435e-05,6.080565008622672e-05
miata,14,0.00028815478028198,5.716058768623379e-05
stain,8,0.00016465987444684574,5.4501301890118256e-05
teacher,3,6.174745291756716e-05,5.403280416126584e-05
bronze,5,0.00010291242152927858,5.381071784299039e-05
hunts,4,8.232993722342287e-05,5.203443159044196e-05
absolutley,4,8.232993722342287e-05,5.203443159044196e-05
resistant,4,8.232993722342287e-05,5.203443159044196e-05
paddle,14,0.00028815478028198,5.074153806276705e-05
opels,2,4.1164968611711435e-05,4.841375976353531e-05
coworker,2,4.1164968611711435e-05,4.841375976353531e-05
collectible,2,4.1164968611711435e-05,4.841375976353531e-05
polymer,2,4.1164968611711435e-05,4.841375976353531e-05
morocco,2,4.1164968611711435e-05,4.841375976353531e-05
vechiles,2,4.1164968611711435e-05,4.841375976353531e-05
earning,2,4.1164968611711435e-05,4.841375976353531e-05
desicion,2,4.1164968611711435e-05,4.841375976353531e-05
