term_str,n,tf,tfidf
pioneer,28,0.0009418729817007535,0.0004924853628851404
trd,30,0.0010091496232508073,0.0004814867344452998
pedestal,7,0.00023546824542518838,0.0003478151501290917
xa,14,0.00047093649085037676,0.00032917048105167733
stingray,7,0.00023546824542518838,0.000276932145229742
xbs,5,0.00016819160387513457,0.0002484393929493512
vsc,9,0.0003027448869752422,0.0002116095949617926
nautical,5,0.00016819160387513457,0.00016819160387513457
moonroofs,3,0.00010091496232508074,0.0001490636357696107
tyc,3,0.00010091496232508074,0.0001490636357696107
columbia,3,0.00010091496232508074,0.0001490636357696107
teal,4,0.00013455328310010763,0.00013455328310010763
haggle,4,0.00013455328310010763,0.00013455328310010763
mica,5,0.00016819160387513457,0.00013087850685946644
gangster,3,0.00010091496232508074,0.00011868520509846086
din,3,0.00010091496232508074,0.00011868520509846086
si,12,0.00040365984930032295,9.95717169031439e-05
xbox,2,6.727664155005382e-05,9.937575717974046e-05
decendant,2,6.727664155005382e-05,9.937575717974046e-05
trs,2,6.727664155005382e-05,9.937575717974046e-05
teflon,2,6.727664155005382e-05,9.937575717974046e-05
soup,2,6.727664155005382e-05,9.937575717974046e-05
sucka,2,6.727664155005382e-05,9.937575717974046e-05
hookup,6,0.00020182992465016147,9.629734688905997e-05
lowering,8,0.00026910656620021526,8.907244861179343e-05
pimp,3,0.00010091496232508074,8.830677442731097e-05
customize,5,0.00016819160387513457,8.794381480091793e-05
springs,11,0.000370021528525296,8.208881343446986e-05
trinket,2,6.727664155005382e-05,7.912347006564055e-05
guardrail,2,6.727664155005382e-05,7.912347006564055e-05
corola,2,6.727664155005382e-05,7.912347006564055e-05
bazooka,2,6.727664155005382e-05,7.912347006564055e-05
tardis,2,6.727664155005382e-05,7.912347006564055e-05
overriding,2,6.727664155005382e-05,7.912347006564055e-05
abd,2,6.727664155005382e-05,7.912347006564055e-05
hearse,3,0.00010091496232508074,7.852710411567987e-05
supercharger,7,0.00023546824542518838,7.793839253531926e-05
alpine,4,0.00013455328310010763,7.723779167488143e-05
celica,5,0.00016819160387513457,7.328588696875628e-05
downsizing,5,0.00016819160387513457,7.328588696875628e-05
scions,3,0.00010091496232508074,7.053653165393086e-05
crush,3,0.00010091496232508074,7.053653165393086e-05
hypnotic,2,6.727664155005382e-05,6.727664155005382e-05
buzzer,2,6.727664155005382e-05,6.727664155005382e-05
pug,2,6.727664155005382e-05,6.727664155005382e-05
cushier,2,6.727664155005382e-05,6.727664155005382e-05
projector,2,6.727664155005382e-05,6.727664155005382e-05
hatchbacks,5,0.00016819160387513457,6.693016830463496e-05
strut,6,0.00020182992465016147,6.680433645884508e-05
clutch,24,0.0008073196986006459,6.392457969399205e-05
spoiler,24,0.0008073196986006459,6.392457969399205e-05
otd,3,0.00010091496232508074,6.378059890057242e-05
funky,5,0.00016819160387513457,6.108347389882025e-05
boxy,8,0.00026910656620021526,5.9700955225068994e-05
alloy,13,0.0004372981700753498,5.890343987711687e-05
toaster,2,6.727664155005382e-05,5.8871182951540635e-05
cai,2,6.727664155005382e-05,5.8871182951540635e-05
customization,2,6.727664155005382e-05,5.8871182951540635e-05
broadsided,2,6.727664155005382e-05,5.8871182951540635e-05
blah,4,0.00013455328310010763,5.862870957500502e-05
decreased,3,0.00010091496232508074,5.792834375616108e-05
sill,3,0.00010091496232508074,5.792834375616108e-05
curtain,11,0.000370021528525296,5.7317060005488934e-05
mats,14,0.00047093649085037676,5.434297167078088e-05
salesperson,4,0.00013455328310010763,5.354413464370796e-05
cavalier,4,0.00013455328310010763,5.354413464370796e-05
insight,2,6.727664155005382e-05,5.235140274378657e-05
sooooo,2,6.727664155005382e-05,5.235140274378657e-05
previa,2,6.727664155005382e-05,5.235140274378657e-05
bystanders,2,6.727664155005382e-05,5.235140274378657e-05
missouri,2,6.727664155005382e-05,5.235140274378657e-05
bs,2,6.727664155005382e-05,5.235140274378657e-05
digital,7,0.00023546824542518838,5.2238335821935375e-05
hatchback,13,0.0004372981700753498,5.046133083715367e-05
increadiable,1,3.363832077502691e-05,4.968787858987023e-05
neogen,1,3.363832077502691e-05,4.968787858987023e-05
tiptoeing,1,3.363832077502691e-05,4.968787858987023e-05
lasy,1,3.363832077502691e-05,4.968787858987023e-05
deifintly,1,3.363832077502691e-05,4.968787858987023e-05
inconveinences,1,3.363832077502691e-05,4.968787858987023e-05
palio,1,3.363832077502691e-05,4.968787858987023e-05
sox,1,3.363832077502691e-05,4.968787858987023e-05
lombards,1,3.363832077502691e-05,4.968787858987023e-05
immobiliser,1,3.363832077502691e-05,4.968787858987023e-05
nfreeway,1,3.363832077502691e-05,4.968787858987023e-05
balled,1,3.363832077502691e-05,4.968787858987023e-05
ballon,1,3.363832077502691e-05,4.968787858987023e-05
souvenirs,1,3.363832077502691e-05,4.968787858987023e-05
kenstyle,1,3.363832077502691e-05,4.968787858987023e-05
immerses,1,3.363832077502691e-05,4.968787858987023e-05
panals,1,3.363832077502691e-05,4.968787858987023e-05
arboretum,1,3.363832077502691e-05,4.968787858987023e-05
arcoss,1,3.363832077502691e-05,4.968787858987023e-05
earthquake,1,3.363832077502691e-05,4.968787858987023e-05
wavy,1,3.363832077502691e-05,4.968787858987023e-05
micah,1,3.363832077502691e-05,4.968787858987023e-05
hunching,1,3.363832077502691e-05,4.968787858987023e-05
lounger,1,3.363832077502691e-05,4.968787858987023e-05
dwarf,1,3.363832077502691e-05,4.968787858987023e-05
wat,1,3.363832077502691e-05,4.968787858987023e-05
