term_str,n,tf,tfidf
rome,6,0.0008224811514736121,0.000967312892986167
brabus,4,0.0005483207676490747,0.0008099362602986496
passion,12,0.0016449623029472242,0.0006545963130999933
orphan,3,0.00041124057573680605,0.0006074521952239873
cabriolet,6,0.0008224811514736121,0.000519827181388956
helmet,3,0.00041124057573680605,0.0004836564464930835
tridian,2,0.00027416038382453733,0.0004049681301493248
tridion,2,0.00027416038382453733,0.0004049681301493248
unsuitable,2,0.00027416038382453733,0.0004049681301493248
brochures,3,0.00041124057573680605,0.0003598606977621796
tic,2,0.00027416038382453733,0.000322437630995389
fickle,2,0.00027416038382453733,0.000322437630995389
smartcar,2,0.00027416038382453733,0.000322437630995389
wave,5,0.0006854009595613434,0.00029864877968570076
automated,3,0.00041124057573680605,0.0002874448270059022
reservation,4,0.0005483207676490747,0.0002867052749994997
crowds,2,0.00027416038382453733,0.00027416038382453733
fad,2,0.00027416038382453733,0.00027416038382453733
shifters,8,0.0010966415352981493,0.00027051112635107714
paddle,10,0.0013708019191226869,0.00024138623585425806
waving,2,0.00027416038382453733,0.00023990713184145304
herky,2,0.00027416038382453733,0.00023990713184145304
cabrio,3,0.00041124057573680605,0.00021502895624962481
tac,2,0.00027416038382453733,0.00021333824547872338
knowledgeable,2,0.00027416038382453733,0.00021333824547872338
dagmar,1,0.00013708019191226866,0.0002024840650746624
twitches,1,0.00013708019191226866,0.0002024840650746624
smartie,1,0.00013708019191226866,0.0002024840650746624
fellas,1,0.00013708019191226866,0.0002024840650746624
cabrios,1,0.00013708019191226866,0.0002024840650746624
daphne,1,0.00013708019191226866,0.0002024840650746624
averageed,1,0.00013708019191226866,0.0002024840650746624
bentleys,1,0.00013708019191226866,0.0002024840650746624
tailwinds,1,0.00013708019191226866,0.0002024840650746624
spetacular,1,0.00013708019191226866,0.0002024840650746624
speek,1,0.00013708019191226866,0.0002024840650746624
beholder,1,0.00013708019191226866,0.0002024840650746624
ladybug,1,0.00013708019191226866,0.0002024840650746624
divorcees,1,0.00013708019191226866,0.0002024840650746624
rumpel,1,0.00013708019191226866,0.0002024840650746624
prague,1,0.00013708019191226866,0.0002024840650746624
toom,1,0.00013708019191226866,0.0002024840650746624
searing,1,0.00013708019191226866,0.0002024840650746624
accerlates,1,0.00013708019191226866,0.0002024840650746624
extolled,1,0.00013708019191226866,0.0002024840650746624
tootle,1,0.00013708019191226866,0.0002024840650746624
circumvented,1,0.00013708019191226866,0.0002024840650746624
debi,1,0.00013708019191226866,0.0002024840650746624
punishingly,1,0.00013708019191226866,0.0002024840650746624
causeway,1,0.00013708019191226866,0.0002024840650746624
emitting,1,0.00013708019191226866,0.0002024840650746624
certianly,1,0.00013708019191226866,0.0002024840650746624
eking,1,0.00013708019191226866,0.0002024840650746624
ebrake,1,0.00013708019191226866,0.0002024840650746624
boundary,1,0.00013708019191226866,0.0002024840650746624
streetlegal,1,0.00013708019191226866,0.0002024840650746624
stuebenville,1,0.00013708019191226866,0.0002024840650746624
cruzer,1,0.00013708019191226866,0.0002024840650746624
wits,1,0.00013708019191226866,0.0002024840650746624
shamed,1,0.00013708019191226866,0.0002024840650746624
sherman,1,0.00013708019191226866,0.0002024840650746624
fuzzes,1,0.00013708019191226866,0.0002024840650746624
swiped,1,0.00013708019191226866,0.0002024840650746624
healed,1,0.00013708019191226866,0.0002024840650746624
inquisitave,1,0.00013708019191226866,0.0002024840650746624
yachts,1,0.00013708019191226866,0.0002024840650746624
whimsical,1,0.00013708019191226866,0.0002024840650746624
hsve,1,0.00013708019191226866,0.0002024840650746624
testy,1,0.00013708019191226866,0.0002024840650746624
socioeconomic,1,0.00013708019191226866,0.0002024840650746624
confirmation,1,0.00013708019191226866,0.0002024840650746624
ih,1,0.00013708019191226866,0.0002024840650746624
lire,1,0.00013708019191226866,0.0002024840650746624
handfuls,1,0.00013708019191226866,0.0002024840650746624
cougars,1,0.00013708019191226866,0.0002024840650746624
moviestar,1,0.00013708019191226866,0.0002024840650746624
bumblebee,1,0.00013708019191226866,0.0002024840650746624
gape,1,0.00013708019191226866,0.0002024840650746624
tridon,1,0.00013708019191226866,0.0002024840650746624
garantee,1,0.00013708019191226866,0.0002024840650746624
karl,1,0.00013708019191226866,0.0002024840650746624
oaks,1,0.00013708019191226866,0.0002024840650746624
dodged,1,0.00013708019191226866,0.0002024840650746624
bloom,1,0.00013708019191226866,0.0002024840650746624
nhra,1,0.00013708019191226866,0.0002024840650746624
gokart,1,0.00013708019191226866,0.0002024840650746624
craziness,1,0.00013708019191226866,0.0002024840650746624
adapted,2,0.00027416038382453733,0.00019162988467060144
resell,2,0.00027416038382453733,0.00019162988467060144
waves,2,0.00027416038382453733,0.00017327572712965195
hardest,2,0.00027416038382453733,0.00017327572712965195
locally,3,0.00041124057573680605,0.00016364907827499833
disparity,1,0.00013708019191226866,0.0001612188154976945
smarts,1,0.00013708019191226866,0.0001612188154976945
banned,1,0.00013708019191226866,0.0001612188154976945
troopers,1,0.00013708019191226866,0.0001612188154976945
sparks,1,0.00013708019191226866,0.0001612188154976945
automanual,1,0.00013708019191226866,0.0001612188154976945
spearfish,1,0.00013708019191226866,0.0001612188154976945
david,1,0.00013708019191226866,0.0001612188154976945
