term_str,n,tf,tfidf
xt,33,0.0007258649891120251,0.0007258649891120251
sti,65,0.0014297340694630798,0.0005689483880008456
vdc,30,0.0006598772628291137,0.0005134843171702111
subie,36,0.0007918527153949365,0.0005004692987571124
bean,29,0.0006378813540681434,0.000403155823998785
wrx,100,0.002199590876097046,0.00038732872677931776
subarus,32,0.0007038690803510547,0.0003358308987754701
boxer,17,0.0003739304489364978,0.0003272120510669974
obs,10,0.0002199590876097046,0.000324906243477039
imprezas,10,0.0002199590876097046,0.000324906243477039
foresters,12,0.0002639509051316455,0.0003104303523451637
symmetrical,8,0.00017596727008776367,0.0002599249947816312
pzev,16,0.00035193454017552734,0.00024599168707248315
hk,8,0.00017596727008776367,0.0002069535682301091
awd,304,0.00668675626333502,0.00020035677158882463
outbacks,9,0.00019796317884873414,0.00019796317884873414
ob,7,0.00015397136132679323,0.00018108437220134549
suby,7,0.00015397136132679323,0.00018108437220134549
spt,6,0.00013197545256582276,0.00015521517617258184
crv,37,0.000813848624155907,0.00014331162890834757
legacys,4,8.798363504388183e-05,0.0001299624973908156
harmon,7,0.00015397136132679323,0.00011981300733971594
tr,5,0.0001099795438048523,0.0001099795438048523
intelligent,11,0.00024195499637067505,0.000105426704466837
subies,4,8.798363504388183e-05,0.00010347678411505455
cobb,4,8.798363504388183e-05,0.00010347678411505455
subi,4,8.798363504388183e-05,0.00010347678411505455
soa,3,6.598772628291138e-05,9.74718730431117e-05
gt,38,0.0008358445329168775,9.645095815671302e-05
xs,5,0.0001099795438048523,9.623883854911689e-05
baja,5,0.0001099795438048523,9.623883854911689e-05
wagon,92,0.0020236236060092823,9.259593805032912e-05
kardon,6,0.00013197545256582276,9.224688265218119e-05
rs,7,0.00015397136132679323,8.838437573618178e-05
forrester,7,0.00015397136132679323,8.838437573618178e-05
wishbone,4,8.798363504388183e-05,8.798363504388183e-05
si,15,0.00032993863141455687,8.138673207049309e-05
ltd,9,0.00019796317884873414,7.87774691078094e-05
whp,3,6.598772628291138e-05,7.760758808629092e-05
srs,4,8.798363504388183e-05,7.699107083929349e-05
sportshift,4,8.798363504388183e-05,7.699107083929349e-05
turbo,108,0.0023755581461848098,7.117937938024032e-05
tweeter,3,6.598772628291138e-05,6.598772628291138e-05
newport,3,6.598772628291138e-05,6.598772628291138e-05
se,17,0.0003739304489364978,6.584588355248402e-05
sampler,2,4.399181752194092e-05,6.49812486954078e-05
wrxs,2,4.399181752194092e-05,6.49812486954078e-05
burdensome,2,4.399181752194092e-05,6.49812486954078e-05
abrasion,2,4.399181752194092e-05,6.49812486954078e-05
symmetric,2,4.399181752194092e-05,6.49812486954078e-05
suspense,2,4.399181752194092e-05,6.49812486954078e-05
downpipe,2,4.399181752194092e-05,6.49812486954078e-05
topaz,2,4.399181752194092e-05,6.49812486954078e-05
smudges,2,4.399181752194092e-05,6.49812486954078e-05
stis,2,4.399181752194092e-05,6.49812486954078e-05
wr,2,4.399181752194092e-05,6.49812486954078e-05
euros,2,4.399181752194092e-05,6.49812486954078e-05
tribecas,2,4.399181752194092e-05,6.49812486954078e-05
llbean,2,4.399181752194092e-05,6.49812486954078e-05
legacies,2,4.399181752194092e-05,6.49812486954078e-05
lgt,2,4.399181752194092e-05,6.49812486954078e-05
exhibited,2,4.399181752194092e-05,6.49812486954078e-05
implies,2,4.399181752194092e-05,6.49812486954078e-05
mainstream,4,8.798363504388183e-05,6.149792176812079e-05
spec,11,0.00024195499637067505,5.96836035183616e-05
cr,17,0.0003739304489364978,5.792255943861237e-05
hideous,3,6.598772628291138e-05,5.7743303129470126e-05
iihs,5,0.0001099795438048523,5.75059658711851e-05
evo,7,0.00015397136132679323,5.591899603831202e-05
film,4,8.798363504388183e-05,5.5607699861901374e-05
partial,5,0.0001099795438048523,5.247357793366721e-05
portions,2,4.399181752194092e-05,5.173839205752728e-05
extremes,2,4.399181752194092e-05,5.173839205752728e-05
stutter,2,4.399181752194092e-05,5.173839205752728e-05
resorts,2,4.399181752194092e-05,5.173839205752728e-05
disappointingly,2,4.399181752194092e-05,5.173839205752728e-05
brat,2,4.399181752194092e-05,5.173839205752728e-05
shortlist,2,4.399181752194092e-05,5.173839205752728e-05
sheetmetal,2,4.399181752194092e-05,5.173839205752728e-05
ticks,2,4.399181752194092e-05,5.173839205752728e-05
juvenile,2,4.399181752194092e-05,5.173839205752728e-05
muranos,2,4.399181752194092e-05,5.173839205752728e-05
hee,2,4.399181752194092e-05,5.173839205752728e-05
tackling,2,4.399181752194092e-05,5.173839205752728e-05
embarrass,2,4.399181752194092e-05,5.173839205752728e-05
rally,7,0.00015397136132679323,5.096347652574557e-05
maine,7,0.00015397136132679323,5.096347652574557e-05
emissions,8,0.00017596727008776367,4.8039288575542774e-05
quattro,5,0.0001099795438048523,4.7921229303107735e-05
ecu,5,0.0001099795438048523,4.7921229303107735e-05
brilliantly,3,6.598772628291138e-05,4.612344132609059e-05
sage,3,6.598772628291138e-05,4.612344132609059e-05
avant,3,6.598772628291138e-05,4.612344132609059e-05
chase,2,4.399181752194092e-05,4.399181752194092e-05
interestingly,2,4.399181752194092e-05,4.399181752194092e-05
overinflated,2,4.399181752194092e-05,4.399181752194092e-05
fingernails,2,4.399181752194092e-05,4.399181752194092e-05
roofrack,2,4.399181752194092e-05,4.399181752194092e-05
pretentious,2,4.399181752194092e-05,4.399181752194092e-05
workout,2,4.399181752194092e-05,4.399181752194092e-05
