term_str,n,tf,tfidf
gv,27,0.0015544936380908515,0.0022961755931504915
vitara,48,0.0027635442454948473,0.0013185456978838043
aerio,7,0.0004030168691346652,0.0005953047834093866
sx,7,0.0004030168691346652,0.0004030168691346652
xl,27,0.0015544936380908515,0.00038345057287221426
susuki,3,0.00017272151534342795,0.00025513062146116574
copper,5,0.00028786919223904657,0.00020121193054753263
guru,2,0.00011514767689561863,0.00017008708097411047
iawd,2,0.00011514767689561863,0.00017008708097411047
mu,2,0.00011514767689561863,0.00017008708097411047
sgv,2,0.00011514767689561863,0.00017008708097411047
xsport,2,0.00011514767689561863,0.00017008708097411047
esteem,2,0.00011514767689561863,0.00017008708097411047
motorcycles,6,0.0003454430306868559,0.00016481821223547554
geo,4,0.00023029535379123726,0.0001609695444380261
browsing,2,0.00011514767689561863,0.0001354241762975049
celicas,2,0.00011514767689561863,0.0001354241762975049
suzy,2,0.00011514767689561863,0.0001354241762975049
deployment,3,0.00017272151534342795,0.00013440346313264615
awd,73,0.00420289020669008,0.0001259321380939233
fools,2,0.00011514767689561863,0.00011514767689561863
berry,2,0.00011514767689561863,0.00011514767689561863
rmp,2,0.00011514767689561863,0.00011514767689561863
denver,6,0.0003454430306868559,0.000114339300722468
zig,2,0.00011514767689561863,0.00010076127162089931
deploy,3,0.00017272151534342795,9.91475504164406e-05
oustanding,2,0.00011514767689561863,8.960230875509743e-05
savvy,2,0.00011514767689561863,8.960230875509743e-05
niagara,2,0.00011514767689561863,8.960230875509743e-05
looses,2,0.00011514767689561863,8.960230875509743e-05
zag,2,0.00011514767689561863,8.960230875509743e-05
deluge,1,5.7573838447809316e-05,8.504354048705524e-05
atractive,1,5.7573838447809316e-05,8.504354048705524e-05
grat,1,5.7573838447809316e-05,8.504354048705524e-05
catogories,1,5.7573838447809316e-05,8.504354048705524e-05
brushless,1,5.7573838447809316e-05,8.504354048705524e-05
blazed,1,5.7573838447809316e-05,8.504354048705524e-05
hatred,1,5.7573838447809316e-05,8.504354048705524e-05
hillsides,1,5.7573838447809316e-05,8.504354048705524e-05
hunky,1,5.7573838447809316e-05,8.504354048705524e-05
assecories,1,5.7573838447809316e-05,8.504354048705524e-05
chop,1,5.7573838447809316e-05,8.504354048705524e-05
apprehensions,1,5.7573838447809316e-05,8.504354048705524e-05
hustler,1,5.7573838447809316e-05,8.504354048705524e-05
inherrant,1,5.7573838447809316e-05,8.504354048705524e-05
insureance,1,5.7573838447809316e-05,8.504354048705524e-05
jlx,1,5.7573838447809316e-05,8.504354048705524e-05
jx,1,5.7573838447809316e-05,8.504354048705524e-05
kerwham,1,5.7573838447809316e-05,8.504354048705524e-05
grassy,1,5.7573838447809316e-05,8.504354048705524e-05
gaming,1,5.7573838447809316e-05,8.504354048705524e-05
dilapidated,1,5.7573838447809316e-05,8.504354048705524e-05
funish,1,5.7573838447809316e-05,8.504354048705524e-05
displaced,1,5.7573838447809316e-05,8.504354048705524e-05
doohickeys,1,5.7573838447809316e-05,8.504354048705524e-05
droppings,1,5.7573838447809316e-05,8.504354048705524e-05
legwork,1,5.7573838447809316e-05,8.504354048705524e-05
equator,1,5.7573838447809316e-05,8.504354048705524e-05
dellenbach,1,5.7573838447809316e-05,8.504354048705524e-05
definitelly,1,5.7573838447809316e-05,8.504354048705524e-05
evaporates,1,5.7573838447809316e-05,8.504354048705524e-05
exerything,1,5.7573838447809316e-05,8.504354048705524e-05
expenssive,1,5.7573838447809316e-05,8.504354048705524e-05
deducible,1,5.7573838447809316e-05,8.504354048705524e-05
courtisy,1,5.7573838447809316e-05,8.504354048705524e-05
fantasitc,1,5.7573838447809316e-05,8.504354048705524e-05
fatures,1,5.7573838447809316e-05,8.504354048705524e-05
contatac,1,5.7573838447809316e-05,8.504354048705524e-05
foreigner,1,5.7573838447809316e-05,8.504354048705524e-05
forenzas,1,5.7573838447809316e-05,8.504354048705524e-05
econommy,1,5.7573838447809316e-05,8.504354048705524e-05
abid,1,5.7573838447809316e-05,8.504354048705524e-05
lucy,1,5.7573838447809316e-05,8.504354048705524e-05
vehivcle,1,5.7573838447809316e-05,8.504354048705524e-05
snowpack,1,5.7573838447809316e-05,8.504354048705524e-05
stiches,1,5.7573838447809316e-05,8.504354048705524e-05
suk,1,5.7573838447809316e-05,8.504354048705524e-05
sunfoof,1,5.7573838447809316e-05,8.504354048705524e-05
suzi,1,5.7573838447809316e-05,8.504354048705524e-05
suzie,1,5.7573838447809316e-05,8.504354048705524e-05
thas,1,5.7573838447809316e-05,8.504354048705524e-05
toanyone,1,5.7573838447809316e-05,8.504354048705524e-05
tomy,1,5.7573838447809316e-05,8.504354048705524e-05
undernear,1,5.7573838447809316e-05,8.504354048705524e-05
vehiche,1,5.7573838447809316e-05,8.504354048705524e-05
versed,1,5.7573838447809316e-05,8.504354048705524e-05
mange,1,5.7573838447809316e-05,8.504354048705524e-05
viewable,1,5.7573838447809316e-05,8.504354048705524e-05
visablility,1,5.7573838447809316e-05,8.504354048705524e-05
wantd,1,5.7573838447809316e-05,8.504354048705524e-05
whinning,1,5.7573838447809316e-05,8.504354048705524e-05
whitetop,1,5.7573838447809316e-05,8.504354048705524e-05
wrotte,1,5.7573838447809316e-05,8.504354048705524e-05
xcept,1,5.7573838447809316e-05,8.504354048705524e-05
xover,1,5.7573838447809316e-05,8.504354048705524e-05
yakohama,1,5.7573838447809316e-05,8.504354048705524e-05
yoder,1,5.7573838447809316e-05,8.504354048705524e-05
yokahoma,1,5.7573838447809316e-05,8.504354048705524e-05
silkly,1,5.7573838447809316e-05,8.504354048705524e-05
sidekick,1,5.7573838447809316e-05,8.504354048705524e-05
