term_str,n,tf,tfidf
fj,289,0.0013511049607525048,0.0005887150318760509
jbl,123,0.0005750377514621386,0.00044746634531806206
tch,56,0.00026180580554373793,0.00030790751947002164
le,162,0.0007573667946086704,0.00025068327334260915
trd,103,0.00048153567805366086,0.00022975090690524608
xle,111,0.000518936507417052,0.00017176446506808404
crewmax,28,0.00013090290277186897,0.00015395375973501082
bed,95,0.0004441348486902697,0.00014700562325646832
prerunner,18,8.415186606763005e-05,0.0001243025099928187
rav,114,0.0005329618184283237,0.00011823691301158318
se,134,0.0006264638918368015,0.00011031481546646448
liftback,20,9.350207340847784e-05,0.00010996697123929344
hh,15,7.012655505635838e-05,0.00010358542499401557
xrs,24,0.0001122024880901734,9.818405098387932e-05
barcelona,16,7.480165872678227e-05,8.797357699143475e-05
echo,26,0.00012155269543102118,8.496168805247565e-05
ce,22,0.00010285228074932561,8.003463086989728e-05
vsc,23,0.00010752738441974951,7.515841635411308e-05
xls,23,0.00010752738441974951,7.515841635411308e-05
camrys,53,0.00024778049453246626,7.458936119472743e-05
solara,47,0.0002197298725099229,7.272909782162117e-05
mica,19,8.882696973805394e-05,6.912081756945674e-05
taco,16,7.480165872678227e-05,6.545603398925288e-05
hl,9,4.2075933033815024e-05,6.215125499640935e-05
cab,134,0.0006264638918368015,6.071062390698209e-05
hybrids,37,0.000172978835805684,5.207181819254557e-05
lc,9,4.2075933033815024e-05,4.948513705768205e-05
fjc,7,3.272572569296724e-05,4.833986499720726e-05
crv,56,0.00026180580554373793,4.610171392628366e-05
sonar,11,5.1426140374662806e-05,4.500102336761135e-05
tacomas,8,3.7400829363391136e-05,4.398678849571738e-05
voodoo,6,2.805062202254335e-05,4.1434169997606226e-05
xreas,6,2.805062202254335e-05,4.1434169997606226e-05
tundras,10,4.675103670423892e-05,4.091002124328305e-05
hatchback,75,0.00035063277528179186,4.046071464876048e-05
offroad,35,0.00016362862846483622,4.036265558487229e-05
xr,11,5.1426140374662806e-05,4.001731543494864e-05
corollas,12,5.61012440450867e-05,3.545728861034819e-05
ltd,19,8.882696973805394e-05,3.5347805107872005e-05
environment,34,0.0001589535247944123,3.526364072275287e-05
runner,42,0.00019635435415780344,3.457628544471274e-05
synergy,5,2.337551835211946e-05,3.452847499800519e-05
pruis,5,2.337551835211946e-05,3.452847499800519e-05
habits,33,0.00015427842112398843,3.42264748191425e-05
dbl,6,2.805062202254335e-05,3.299009137178803e-05
vvti,6,2.805062202254335e-05,3.299009137178803e-05
van,154,0.0007199659652452794,3.294383585871824e-05
pulse,7,3.272572569296724e-05,3.272572569296724e-05
rugged,23,0.00010752738441974951,3.2368968065636434e-05
laser,13,6.077634771551059e-05,3.177866043620769e-05
hesitates,34,0.0001589535247944123,3.153123777143576e-05
silverado,27,0.00012622779910144509,3.113690573690148e-05
crew,19,8.882696973805394e-05,2.9401124651293667e-05
insight,8,3.7400829363391136e-05,2.9103502134508106e-05
cr,40,0.00018700414681695567,2.8967308867408113e-05
tows,25,0.0001168775917605973,2.883046827490878e-05
hesitations,7,3.272572569296724e-05,2.8637014870298136e-05
bbs,6,2.805062202254335e-05,2.805062202254335e-05
smartkey,6,2.805062202254335e-05,2.805062202254335e-05
mud,34,0.0001589535247944123,2.799032631238651e-05
platinum,15,7.012655505635838e-05,2.7906161927267375e-05
cressida,4,1.8700414681695568e-05,2.7622779998404154e-05
seaside,4,1.8700414681695568e-05,2.7622779998404154e-05
bulgaria,4,1.8700414681695568e-05,2.7622779998404154e-05
timberland,4,1.8700414681695568e-05,2.7622779998404154e-05
gloveboxes,4,1.8700414681695568e-05,2.7622779998404154e-05
doublecab,5,2.337551835211946e-05,2.749174280982336e-05
speedway,5,2.337551835211946e-05,2.749174280982336e-05
teaches,5,2.337551835211946e-05,2.749174280982336e-05
blizzard,16,7.480165872678227e-05,2.7166309513392818e-05
roading,23,0.00010752738441974951,2.6524030812916074e-05
batteries,17,7.947676239720615e-05,2.6306269424841702e-05
tercel,8,3.7400829363391136e-05,2.6142057862300205e-05
geo,8,3.7400829363391136e-05,2.6142057862300205e-05
bumpers,15,7.012655505635838e-05,2.5468415168805765e-05
sle,7,3.272572569296724e-05,2.546556436769459e-05
toyotas,119,0.0005563373367804431,2.5456600436282273e-05
reputation,47,0.0002197298725099229,2.53553811798899e-05
tanks,35,0.00016362862846483622,2.5346395258982097e-05
thin,24,0.0001122024880901734,2.4891981686649088e-05
gallons,34,0.0001589535247944123,2.4622212537296894e-05
res,6,2.805062202254335e-05,2.454601274596983e-05
shuts,11,5.1426140374662806e-05,2.453650462094861e-05
lcd,12,5.61012440450867e-05,2.4444914818382734e-05
towing,113,0.0005282867147578998,2.417307436386468e-05
glide,9,4.2075933033815024e-05,2.4152901180227442e-05
dents,9,4.2075933033815024e-05,2.4152901180227442e-05
energy,17,7.947676239720615e-05,2.392488943981823e-05
trailer,82,0.0003833585009747591,2.3824928369956117e-05
prizm,5,2.337551835211946e-05,2.337551835211946e-05
motivation,5,2.337551835211946e-05,2.337551835211946e-05
ody,5,2.337551835211946e-05,2.337551835211946e-05
seniors,5,2.337551835211946e-05,2.337551835211946e-05
skid,18,8.415186606763005e-05,2.2973566483000284e-05
flint,7,3.272572569296724e-05,2.2874300629512676e-05
paint,162,0.0007573667946086704,2.2693150445517736e-05
hose,16,7.480165872678227e-05,2.251754300218187e-05
trail,11,5.1426140374662806e-05,2.2407838583517504e-05
legendary,11,5.1426140374662806e-05,2.2407838583517504e-05
indicator,24,0.0001122024880901734,2.2257344309248776e-05
