term_str,n,tf,tfidf
sweden,14,0.0008516333110286514,0.001257965664947702
blis,8,0.0004866476063020865,0.0007188375228272583
dynaudio,10,0.0006083095078776082,0.000715427495015318
xc,15,0.0009124642618164122,0.00047710816833171506
yamaha,4,0.00024332380315104324,0.00035941876141362916
geartronic,4,0.00024332380315104324,0.00035941876141362916
swedish,5,0.0003041547539388041,0.0003041547539388041
norway,3,0.00018249285236328244,0.00026956407106022186
osd,3,0.00018249285236328244,0.00026956407106022186
dyna,3,0.00018249285236328244,0.00026956407106022186
hardtop,11,0.000669140458665369,0.00026627775992410816
autobahns,3,0.00018249285236328244,0.00021462824850459542
dah,3,0.00018249285236328244,0.00021462824850459542
austria,3,0.00018249285236328244,0.00018249285236328244
scandinavian,2,0.00012166190157552162,0.00017970938070681458
dtsc,2,0.00012166190157552162,0.00017970938070681458
swede,2,0.00012166190157552162,0.00017970938070681458
dynasound,2,0.00012166190157552162,0.00017970938070681458
oslo,2,0.00012166190157552162,0.00017970938070681458
gothenburg,2,0.00012166190157552162,0.00017970938070681458
denmark,2,0.00012166190157552162,0.00017970938070681458
overseas,5,0.0003041547539388041,0.0001745943389889041
italy,4,0.00024332380315104324,0.0001700760397435413
pirellis,3,0.00018249285236328244,0.00015969242594896893
preparing,2,0.00012166190157552162,0.0001430854990030636
ferry,2,0.00012166190157552162,0.0001430854990030636
needlessly,2,0.00012166190157552162,0.0001430854990030636
kph,2,0.00012166190157552162,0.0001430854990030636
austrian,2,0.00012166190157552162,0.0001430854990030636
vehcile,2,0.00012166190157552162,0.0001430854990030636
convertibles,7,0.0004258166555143257,0.00012818358596312844
smoth,2,0.00012166190157552162,0.00012166190157552162
adaptive,4,0.00024332380315104324,0.0001160949582625859
beutiful,2,0.00012166190157552162,0.00010646161729931261
petrol,2,0.00012166190157552162,0.00010646161729931261
ridges,2,0.00012166190157552162,0.00010646161729931261
simplistic,2,0.00012166190157552162,0.00010646161729931261
backorder,2,0.00012166190157552162,0.00010646161729931261
shipment,2,0.00012166190157552162,0.00010646161729931261
matte,2,0.00012166190157552162,0.00010646161729931261
tiger,2,0.00012166190157552162,0.00010646161729931261
france,2,0.00012166190157552162,9.467136083504393e-05
passats,2,0.00012166190157552162,9.467136083504393e-05
ostentatious,2,0.00012166190157552162,9.467136083504393e-05
giggling,1,6.083095078776081e-05,8.985469035340729e-05
braggadosia,1,6.083095078776081e-05,8.985469035340729e-05
cabriolets,1,6.083095078776081e-05,8.985469035340729e-05
goosey,1,6.083095078776081e-05,8.985469035340729e-05
goteberg,1,6.083095078776081e-05,8.985469035340729e-05
boatload,1,6.083095078776081e-05,8.985469035340729e-05
blitzing,1,6.083095078776081e-05,8.985469035340729e-05
graco,1,6.083095078776081e-05,8.985469035340729e-05
gengras,1,6.083095078776081e-05,8.985469035340729e-05
daaaaaah,1,6.083095078776081e-05,8.985469035340729e-05
harming,1,6.083095078776081e-05,8.985469035340729e-05
hartford,1,6.083095078776081e-05,8.985469035340729e-05
hopland,1,6.083095078776081e-05,8.985469035340729e-05
carton,1,6.083095078776081e-05,8.985469035340729e-05
balestrand,1,6.083095078776081e-05,8.985469035340729e-05
huu,1,6.083095078776081e-05,8.985469035340729e-05
idock,1,6.083095078776081e-05,8.985469035340729e-05
inaction,1,6.083095078776081e-05,8.985469035340729e-05
indecisively,1,6.083095078776081e-05,8.985469035340729e-05
indulged,1,6.083095078776081e-05,8.985469035340729e-05
infated,1,6.083095078776081e-05,8.985469035340729e-05
jigsaw,1,6.083095078776081e-05,8.985469035340729e-05
kalmar,1,6.083095078776081e-05,8.985469035340729e-05
autobaun,1,6.083095078776081e-05,8.985469035340729e-05
hupla,1,6.083095078776081e-05,8.985469035340729e-05
fjords,1,6.083095078776081e-05,8.985469035340729e-05
chiropractors,1,6.083095078776081e-05,8.985469035340729e-05
kiel,1,6.083095078776081e-05,8.985469035340729e-05
danny,1,6.083095078776081e-05,8.985469035340729e-05
dares,1,6.083095078776081e-05,8.985469035340729e-05
crz,1,6.083095078776081e-05,8.985469035340729e-05
deterioration,1,6.083095078776081e-05,8.985469035340729e-05
dimunitive,1,6.083095078776081e-05,8.985469035340729e-05
critized,1,6.083095078776081e-05,8.985469035340729e-05
donalds,1,6.083095078776081e-05,8.985469035340729e-05
dowm,1,6.083095078776081e-05,8.985469035340729e-05
dripped,1,6.083095078776081e-05,8.985469035340729e-05
dup,1,6.083095078776081e-05,8.985469035340729e-05
conked,1,6.083095078776081e-05,8.985469035340729e-05
concernet,1,6.083095078776081e-05,8.985469035340729e-05
dynmaic,1,6.083095078776081e-05,8.985469035340729e-05
flys,1,6.083095078776081e-05,8.985469035340729e-05
eatery,1,6.083095078776081e-05,8.985469035340729e-05
emenities,1,6.083095078776081e-05,8.985469035340729e-05
communicator,1,6.083095078776081e-05,8.985469035340729e-05
erroneous,1,6.083095078776081e-05,8.985469035340729e-05
evan,1,6.083095078776081e-05,8.985469035340729e-05
civvie,1,6.083095078776081e-05,8.985469035340729e-05
excpept,1,6.083095078776081e-05,8.985469035340729e-05
extentsive,1,6.083095078776081e-05,8.985469035340729e-05
extinguishes,1,6.083095078776081e-05,8.985469035340729e-05
extravagance,1,6.083095078776081e-05,8.985469035340729e-05
feal,1,6.083095078776081e-05,8.985469035340729e-05
czech,1,6.083095078776081e-05,8.985469035340729e-05
karlstad,1,6.083095078776081e-05,8.985469035340729e-05
aand,1,6.083095078776081e-05,8.985469035340729e-05
